Star Rating,Name,Total AUM Range - Sep 2024,AUM CAGR over 5 years*,Main Office City,Main Office State,Profile,,,,,
★★★★,https://alphaarchitect.com||Alpha Architect,$500 Million - $1 Billion,5%-10%,Havertown,Pennsylvania,,,,,,
★★★★,https://bogartwealth.com/||Bogart Wealth,$1 Billion - $5 Billion,20%-30%,McLean,Virginia,,,,,,
★★★★,https://shayneandjacobs.com||Shayne & Jacobs,$250 Million - $500 Million,10%-20%,Nashville,Tennessee,,,,,,
★★★★,www.nfp.com||NFP Retirement,over $10 Billion,10%-20%,Aliso Viejo,California,,,,,,
★★★★,http://www.vizcayacapital.com||Vizcaya Capital,$250 Million - $500 Million,-,Miami,Florida,,,,,,
★★★★,https://ranchcap.com/||Ranch Capital Advisors,$250 Million - $500 Million,20%-30%,Sarasota,Florida,,,,,,
★★★★,https://investmentpartners.com||Investment Partners Asset Management,up to $250 Million,10%-20%,Metuchen,New Jersey,,,,,,
★★★★,https://conradsiegel.com/||Conrad Siegel Investment Advisors,$5 Billion - $10 Billion,5%-10%,Harrisburg,Pennsylvania,,,,,,
★★★★,https://adamswealthadvisors.com/||Adams Wealth Management,$500 Million - $1 Billion,20%-30%,Logan,Utah,,,,,,
★★★★,https://bridgestrust.com/||Bridges Investment Management Inc.,$5 Billion - $10 Billion,10%-20%,Omaha,Nebraska,,,,,,
★★★★,http://www.indwealth.net||Independent Wealth Network,$250 Million - $500 Million,10%-20%,Urbandale,Iowa,,,,,,
★★★★,https://daisecurities.com/||DAI Wealth,up to $250 Million,upto 5%,Atlanta,Georgia,,,,,,
★★★★,https://www.wcipllc.com||Wealthcare Investment Partners,$500 Million - $1 Billion,30%-40%,Portsmouth,Rhode Island,,,,,,
★★★★,http://www.gleason-group.net/||The Gleason Group,$500 Million - $1 Billion,20%-30%,Prospect,Kentucky,,,,,,
★★★★,http://www.sharpergranite.com||Sharper & Granite,$250 Million - $500 Million,10%-20%,El Segundo,California,,,,,,
★★★★,https://www.akwealthadvisors.com//||Alaska Wealth Advisors,$500 Million - $1 Billion,10%-20%,Anchorage,Alaska,,,,,,
★★★★,http://www.standard.com||StanCorp Investment Advisers,over $10 Billion,10%-20%,Portland,Oregon,,,,,,
★★★★,http://www.breedshillcapital.com/||Breed's Hill Capital,$1 Billion - $5 Billion,20%-30%,Boston,Massachusetts,,,,,,
★★★★,http://www.rosecapitaladvisors.com||Rose Capital Advisors,$500 Million - $1 Billion,10%-20%,Miami Beach,Florida,,,,,,
★★★★,https://www.cassadyschillerwealth.com/||Cassady Schiller Wealth Management,$500 Million - $1 Billion,10%-20%,Cincinnati,Ohio,,,,,,
★★★★,https://www.frazierfinancial.com/||Frazier Financial Advisors,$500 Million - $1 Billion,10%-20%,Columbus,Ohio,,,,,,
★★★★,https://credentwealth.com/contact-us/||CX Institutional,$1 Billion - $5 Billion,30%-40%,Auburn,Indiana,,,,,,
★★★★,http://www.fedadvisors.com||Federmann Financial Advisors,up to $250 Million,10%-20%,Rocky Point,New York,,,,,,
★★★★,http://www.mas-edu.com||Millennium Advisory Services,$500 Million - $1 Billion,20%-30%,Glen Allen,Virginia,,,,,,
★★★★,https://www.gilbertcook.com/||Gilbert & Cook,$1 Billion - $5 Billion,20%-30%,West Des Moines,Iowa,,,,,,
★★★★,https://www.westmichiganadvisors.com/||West Michigan Advisors,$250 Million - $500 Million,-,Holland,Michigan,,,,,,
★★★★,http://www.kohmannbosshard.com||Kohmann Bosshard Financial Services,$500 Million - $1 Billion,20%-30%,Akron,Ohio,,,,,,
★★★★,"https://www.blvdpw.com/||BLVD Private Wealth, LLC",up to $250 Million,-,Prospect,Kentucky,,,,,,
★★★★,https://strittmatterwealth.com/||Strittmatter Wealth Management Group,up to $250 Million,10%-20%,Fort Worth,Texas,,,,,,
★★★★,http://www.bradleyclark.com/||Clark Asset Management,$250 Million - $500 Million,-,Portsmouth,New Hampshire,,,,,,
★★★★,https://perennial.com/||Perennial Advisors,$500 Million - $1 Billion,10%-20%,New York,New York,,,,,,
★★★★,https://www.aafwealthmanagement.com/||AAF Wealth Management,$500 Million - $1 Billion,10%-20%,Westborough,Massachusetts,,,,,,
★★★★,https://collaborativewealth.com/||Collaborative Wealth Management,$250 Million - $500 Million,10%-20%,Lake Mary,Florida,,,,,,
★★★★,https://fairbankscap.com/||Fairbanks Capital Management,$250 Million - $500 Million,10%-20%,Rancho Santa Fe,California,,,,,,
★★★★,https://www.evermaywealth.com||Evermay Wealth Management,$1 Billion - $5 Billion,10%-20%,Arlington,Virginia,,,,,,
★★★★,https://www.bwfa.com/||Baltimore-Washington Financial Advisors,$1 Billion - $5 Billion,20%-30%,Columbia,Maryland,,,,,,
★★★★,www.msllcwealth.com/||Mowery & Schoenfeld Wealth Management,$250 Million - $500 Million,-,Lincolnshire,Illinois,,,,,,
★★★★,http://www.hfs-wm.com||Howard Financial Services,$1 Billion - $5 Billion,10%-20%,Dallas,Texas,,,,,,
★★★★,https://www.newrepublicpartners.com||New Republic Capital,$1 Billion - $5 Billion,-,Charlotte,North Carolina,,,,,,
★★★★,http://guidingyourwealth.com/||Core Wealth Advisors,$500 Million - $1 Billion,10%-20%,Lakeland,Florida,,,,,,
★★★★,"https://dockstreet.com/||Dock Street Asset Management, Inc.",$500 Million - $1 Billion,10%-20%,Palm Beach,Florida,https://www.newsweek.com/rankings/dock-street||View Profile,,,,,
★★★★,https://bluewaterwealth.com/||Blue Water Wealth,$250 Million - $500 Million,10%-20%,Portland,Oregon,,,,,,
★★★★,https://carmichael-hill.com/||Carmichael Hill & Associates,$250 Million - $500 Million,10%-20%,Gaithersburg,Maryland,,,,,,
★★★★,https://www.vestura.net||Vestura,$250 Million - $500 Million,10%-20%,Hobart,Wisconsin,,,,,,
★★★★,https://www.gjsco.com||Schwartz & Co.,$5 Billion - $10 Billion,10%-20%,Bloomfield Hills,Michigan,,,,,,
★★★★,https://peninsulawealth.com||Peninsula Wealth,$500 Million - $1 Billion,10%-20%,San Francisco,California,,,,,,
★★★★,https://ironhorsewm.com/||Iron Horse Wealth Management,$250 Million - $500 Million,20%-30%,Johnston,Iowa,,,,,,
★★★★,www.crewe.com||Crewe Advisors,$1 Billion - $5 Billion,10%-20%,Salt Lake City,Utah,,,,,,
★★★★,https://regentpeakwealth.com/||Regent Peak Wealth Advisors,$500 Million - $1 Billion,20%-30%,Atlanta,Georgia,,,,,,
★★★★,http://www.narwhalcapital.com||Narwhal Capital Management,$1 Billion - $5 Billion,10%-20%,Marietta,Georgia,,,,,,
★★★★,http://formidableam.com||Formidable Asset Management,$500 Million - $1 Billion,10%-20%,Cincinnati,Ohio,,,,,,
★★★★,http://www.kglcapitalmanagement.com||KG&L Capital Management,$250 Million - $500 Million,20%-30%,Saint Francisville,Louisiana,,,,,,
★★★★,https://privatewealth.com/||Private Wealth Asset Management,$1 Billion - $5 Billion,-,Omaha,Nebraska,,,,,,
★★★★,https://www.broyhillasset.com/||Broyhill Asset Management,up to $250 Million,-,Charlotte,North Carolina,,,,,,
★★★★,https://www.ihtwealthmanagement.com/||IHT Wealth Management,$1 Billion - $5 Billion,30%-40%,Chicago,Illinois,,,,,,
★★★★,https://denverpwm.com/||Denver PWM,$500 Million - $1 Billion,10%-20%,Denver,Colorado,,,,,,
★★★★,https://laidlawltd.com||Laidlaw Wealth Management,$500 Million - $1 Billion,30%-40%,New York,New York,,,,,,
★★★★,http://www.regattainvest.com||Regatta Capital Group,$1 Billion - $5 Billion,20%-30%,El Segundo,California,,,,,,
★★★★,http://www.francisfinancial.com||Francis Financial,$500 Million - $1 Billion,10%-20%,New York,New York,,,,,,
★★★★,https://www.signifywealth.com/||Signify Wealth,up to $250 Million,10%-20%,St. Louis,Missouri,,,,,,
★★★★,https://www.ohanaadvisors.com/||Ohana Advisors,$1 Billion - $5 Billion,10%-20%,San Rafael,California,,,,,,
★★★★,https://teamworkfinancial.com/||Teamwork Financial Advisors,$500 Million - $1 Billion,30%-40%,San Antonio,Texas,,,,,,
★★★★,https://www.ccaretirement.com/||Clear Creek Advisors,$250 Million - $500 Million,20%-30%,Denver,Colorado,,,,,,
★★★★,https://alliedinvest.net/||Allied Investment Advisors,$500 Million - $1 Billion,20%-30%,Billings,Montana,,,,,,
★★★★,http://www.lukeninvestmentanalytics.com||Luken Investment Analytics,up to $250 Million,10%-20%,Brentwood,Tennessee,,,,,,
★★★★,https://www.wealthstreamadvisors.com/||Wealthstream Advisors,$1 Billion - $5 Billion,10%-20%,New York,New York,,,,,,
★★★★,https://www.pnfp.com/wealth-management/wealth-advisors/||Pinnacle Wealth Advisors,$500 Million - $1 Billion,20%-30%,Nashville,Tennessee,,,,,,
★★★★,http://www.mengiscapital.com||Mengis Capital Management,$500 Million - $1 Billion,20%-30%,Portland,Oregon,,,,,,
★★★★,https://www.grey-rock.com/||Grey Rock Asset Management,$250 Million - $500 Million,-,Dallas,Texas,,,,,,
★★★★,https://www.atlasca.com||Atlas Capital Advisors,$500 Million - $1 Billion,10%-20%,San Francisco,California,,,,,,
★★★★,https://www.kingspath.com/||Kings Path Partners,$1 Billion - $5 Billion,10%-20%,Sugar Land,Texas,,,,,,
★★★★,https://www.saxwa.com/||Sax Wealth Advisors,$1 Billion - $5 Billion,10%-20%,Parsippany,New Jersey,,,,,,
★★★★,https://naplesglobaladvisors.com||Naples Global Advisors,$1 Billion - $5 Billion,10%-20%,Naples,Florida,,,,,,
★★★★,https://www.quadcapwm.com||Quadcap Wealth Management,$500 Million - $1 Billion,10%-20%,Frisco,Texas,,,,,,
★★★★,https://www.capitolpwg.com||Capitol Private Wealth Group,$250 Million - $500 Million,10%-20%,Vienna,Virginia,,,,,,
★★★★,https://www.livelifecapital.com/||Livelife Capital Partners ,$250 Million - $500 Million,10%-20%,Southborough,Massachusetts,,,,,,
★★★★,https://imacorp.com/||IMA Financial Group,$500 Million - $1 Billion,10%-20%,Wichita,Kansas,,,,,,
★★★★,https://www.p3wm.com/||Fortitude Advisory Group,$250 Million - $500 Million,20%-30%,Gig Harbor,Washington,,,,,,
★★★★,https://www.videntam.com||Vident Asset Management,$5 Billion - $10 Billion,30%-40%,Alpharetta,Georgia,,,,,,
★★★★,https://www.hoeyinvestments.com||Hoey Investments,$250 Million - $500 Million,20%-30%,Coatesville,Pennsylvania,,,,,,
★★★★,https://www.lsaminc.com/||Lifestyle Asset Management,$250 Million - $500 Million,10%-20%,Friendswood,Texas,,,,,,
★★★★,https://www.boyd-wealth.com/||Boyd Wealth Management,$250 Million - $500 Million,20%-30%,Sacramento,California,,,,,,
★★★★,https://www.tvamp.net/||TVAMP,$500 Million - $1 Billion,20%-30%,Knoxville,Tennessee,,,,,,
★★★★,https://evoadvisers.com||Evolution Advisers,up to $250 Million,5%-10%,Richmond,Virginia,,,,,,
★★★★,https://www.tateassetmanagement.com/||ACAS LLC,$250 Million - $500 Million,10%-20%,Rancho Santa Fe,California,,,,,,
★★★★,https://boulaygroup.com/||Boulay Financial Advisors,$1 Billion - $5 Billion,20%-30%,Eden Prairie,Minnesota,,,,,,
★★★★,https://www.northrightfinancial.com/about||N.E.W. Advisory Services,$1 Billion - $5 Billion,20%-30%,De Pere,Wisconsin,,,,,,
★★★★,https://slavic401k.com/||Slavic Mutual Funds Management Corp.,$5 Billion - $10 Billion,5%-10%,Boca Raton,Florida,,,,,,
★★★★,https://www.onyxbridge.com||Onyx Bridge Wealth Group,$500 Million - $1 Billion,-,Tarrytown,New York,,,,,,
★★★★,https://www.investaca.com/||American Capital Advisory,up to $250 Million,10%-20%,Ketchum,Idaho,,,,,,
★★★★,http://www.nwkgroup.com||NWK Group,$500 Million - $1 Billion,20%-30%,San Francisco,California,,,,,,
★★★★,https://www.shakespearewm.com/||Shakespeare Wealth Management,$250 Million - $500 Million,10%-20%,Pewaukee,Wisconsin,,,,,,
★★★★,http://www.legacykc.com||Legacy Financial Strategies,$500 Million - $1 Billion,10%-20%,Overland Park,Kansas,,,,,,
★★★★,https://choreoadvisors.com/||Choreo,over $10 Billion,20%-30%,Rockford,Illinois,,,,,,
★★★★,https://www.stratoswealthpartners.com||Stratos Wealth Partners,over $10 Billion,10%-20%,Beachwood,Ohio,,,,,,
★★★★,https://laffertengler.com||Laffer Tengler Investments,$250 Million - $500 Million,5%-10%,Nashville,Tennessee,,,,,,
★★★★,https://truewealthadvisorygroup.com/||True Wealth Advisory Group,up to $250 Million,-,Miami,Florida,,,,,,
