title,id,creator,activity,assignee,priority,status
urlparse fails if the path is numeric,27657,18874,2018-03-15.18:57:46,None,4,1
urlparse fails on imap://,618024,280,2003-01-06.06:59:51,35,4,2
urlparse goes wrong with IP:port without scheme,754016,1270,2017-03-13.19:39:47,1741,4,2
urlparse has a duplicate of urllib.unquote,8143,8864,2010-05-25.15:21:46,None,5,2
urlparse incorrect parse,8284,12137,2010-04-01.20:34:01,None,4,2
urlparse insufficient port property validation,14036,15508,2015-02-10.03:16:40,1741,4,2
Urlparse insufficient validation leads to open redirect,23505,20860,2018-07-30.13:15:46,None,4,1
urlparse is confused by /,1396543,2494,2006-02-19.00:24:11,None,4,2
urlparse normalize URL path,2583,6639,2008-05-21.00:25:35,None,4,2
urlparse normalize URL path,4191,6639,2009-02-18.14:38:01,None,5,2
urlparse on tel: URI-s misses the scheme in some cases,14072,15526,2013-01-07.16:58:07,7047,4,2
urlparse return exchanged values,1549589,2787,2006-08-31.09:52:58,None,4,2
urlparse should parse mailto: URL headers as query parameters,6640,10953,2013-04-09.05:35:01,1741,4,2
urlparse should parse query and fragment for arbitrary schemes,9374,12717,2014-04-14.22:48:03,1741,2,2
urlparse() documentation does not account for default scheme,23684,14751,2015-06-25.20:48:04,14674,4,2
urlparse() does not handle URLs with port numbers properly,2195,5287,2008-07-02.14:32:36,93,4,2
"urlparse, urlsplit confused when password includes fragment (#), query (?)",18140,17966,2017-06-17.01:57:01,1741,4,1
urlparse.BaseResult no longer exists,21746,18723,2016-04-30.15:37:55,12260,4,2
urlparse.parse_qs documentation wrong re: urlencode,15593,16369,2012-09-28.13:40:59,12260,4,2
urlparse.parse_qs should take argument for query separator,20116,18814,2016-04-20.14:16:35,None,4,1
urlparse.parse_qs with empty string,19571,18605,2013-11-13.14:30:38,None,4,2
urlparse.ParseResult to have meaningful __str__,11862,10469,2011-04-28.11:50:20,1741,4,2
urlparse.scheme_chars and string.letters,226351,22,2000-12-19.16:49:43,5,4,2
urlparse.urljoin different behavior for different scheme,12683,14673,2011-08-03.10:47:23,None,4,2
urlparse.urljoin does not add query part,24032,21452,2015-05-13.12:34:41,None,4,2
urlparse.urljoin does not obey current uri rfc (rfc 3986),1779700,3264,2008-05-06.20:08:06,None,4,2
urlparse.urljoin odd behaviour,1546628,2781,2006-10-12.11:15:10,None,4,2
"urlparse.urljoin of simple ""http://"" and ""somedomain.com"" produces incorrect result",7097,1124,2012-01-29.22:46:58,None,4,2
urlparse.urljoin() cuts off last base character with semicolon at url start,9721,181,2010-12-17.04:57:17,1741,3,2
urlparse.urlparse misparses URLs with query but no path,1637,1467,2008-01-05.23:35:12,None,4,2
urlparse.urlparse semicolon bug,478038,2,2001-11-16.03:23:51,12,4,2
urlparse.urlparse() parses invalid URI without generating an error (examples provided),28841,19973,2016-12-01.04:40:56,None,4,1
urlparse.urlparse/urlsplit doc missing,8653,12293,2010-06-28.14:13:24,1741,4,2
urlparse.urlsplit mishandles novel schemes,7904,8999,2010-12-04.10:02:42,1741,4,2
urlparse.urlsplit regression in 2.7,8721,10434,2010-05-19.17:03:46,None,4,2
urlparse.urlsplit() regression for paths consisting of digits,11467,181,2011-04-15.10:23:51,1741,4,2
urlparse.urlunparse forms file urls incorrectly,1722348,3161,2015-03-11.01:46:49,None,4,2
urlparse.urlunsplit should be smarter about +,8657,12293,2010-05-13.03:49:07,1741,4,2
urlparse.urlunsplit should be smarter about + and file urls,8658,1741,2010-05-08.04:08:06,1741,4,2
urlparse: add userinfo attribute,16909,17122,2013-01-10.08:24:21,None,4,1
urlretreive locks up in 2.7.8,22912,20468,2014-12-16.06:39:42,None,4,1
urlretrieve --> urlretrieve(),11855,9595,2011-04-16.20:17:09,12260,5,2
urlretrieve regression: first call returns block size as 0,16409,2984,2012-11-10.21:45:35,252,4,2
urlsplit and urlparse add extra slash when using scheme,8818,12296,2010-10-17.09:35:04,None,4,2
urlsplit can't round-trip relative-host urls.,15009,16111,2015-05-31.04:28:09,1741,4,2
urlunparse(urlparse('x://')) now returns 'x:' instead of 'x://',8339,12175,2010-04-14.19:09:23,1741,4,2
urrlib2 digest authentication problems,5286,9942,2018-05-16.17:42:48,1741,4,2
urrlib2 max_redirections=0 disables redirects,1520831,4649,2010-11-20.21:03:28,1741,4,2
urrlib2/httplib doesn't reset file position between requests,5038,3981,2018-09-02.13:32:33,1741,4,1
Usability issue from not being able to use defined start and end code block markers,3942,9281,2008-09-23.12:57:48,None,4,2
Usage documentation for pysetup,14940,1309,2013-02-04.16:15:30,None,4,2
Usage documentation for pyvenv,14939,1309,2012-05-29.11:55:56,12260,6,2
Usage error in multiprocessing documentation,17910,17728,2013-05-06.00:38:29,12260,4,2
Usage of API method Py_SetPath causes errors in Py_Initialize() (Posix ony)),11320,13295,2016-09-12.14:09:01,None,4,1
usage of os.popen in standard library,15585,14620,2012-08-08.17:31:44,None,4,2
Usage of socket.sendall() in multiple threads,14016,15491,2012-02-14.19:20:27,None,4,2
"usage of type ""char*"" instead of ""const char*""",1228053,2295,2005-06-30.21:54:57,None,4,2
usage() is not defined in Lib/test/regrtest.py,16854,15623,2013-01-08.07:56:03,12075,4,2
"Use ""alive"" instead of ""active"" in the docs for threading",1680978,1439,2007-03-15.09:58:01,None,4,2
"use ""as"" for block scope support",12635,14526,2011-07-25.09:02:47,None,4,2
"Use ""except ImportError"" instead of bare except in _strptime.py",17165,14674,2013-02-10.18:32:58,None,4,2
"Use ""ll"" for PY_FORMAT_SIZE_T on Win64",15827,2153,2012-08-31.05:49:57,None,4,2
"Use ""Low-fragmentation Heap"" memory allocator on Windows",26251,2377,2018-05-29.22:11:35,None,4,2
"Use ""member"" consistently",10403,12,2011-07-17.11:11:10,1741,4,2
"Use ""raise from None""",29762,15623,2017-10-12.21:02:42,None,4,2
"Use ""surrogateescape"" error handler for sys.stdin and sys.stdout on UNIX for the C locale",19977,2377,2017-12-18.14:31:51,None,4,2
"Use ""with"" to avoid possible fd leaks",22831,15623,2016-01-06.05:43:33,None,4,1
Use $HOSTPYTHON when determining candidate interpreter for $PYTHON_FOR_BUILD.,22100,18878,2015-11-26.00:41:24,None,4,1
Use '#!/usr/bin/env python' in scripts,400719,168,2000-07-05.20:49:43,12,4,2
Use '*args' instead of providing defaults in User*.py,401250,14,2000-10-26.20:47:58,14,4,2
Use 'ascii' instead of 'us-ascii' to bypass lookup machinery,27915,2449,2016-09-05.22:51:48,None,4,2
Use 'ip' for uuid.getnode(),22902,20460,2014-11-30.18:44:10,15623,4,2
Use 'is not None' where appropriate in importlib,12599,1309,2012-04-18.01:43:15,37,5,2
Use 'seealso' to add examples to LibRef,1376361,20,2007-09-04.12:38:10,12,4,2
use 'text=...' to define the text attribute of and xml.etree.ElementTree.Element,13796,15358,2012-01-21.02:29:14,None,4,2
"Use ** correctly for ""kwargs"" in signature of namedtuple._replace()",30659,10996,2017-06-14.19:08:45,114,4,2
use --directory option of make in describing how to build the docs,16814,13754,2013-01-11.16:21:01,None,4,2
Use -lcrypto instead of -lcrypt on Solaris 2.6 when available,3264,1244,2018-01-23.08:35:22,None,4,2
Use -Og for debug builds,23445,2040,2015-03-27.14:48:51,None,4,2
"Use -Wl,--dynamic-list=x.list, not -Xlinker -export-dynamic",10112,11270,2015-03-03.13:35:18,None,4,1
Use .dylib for shared objects on MacOS X,641685,925,2004-06-02.21:11:04,79,4,2
Use 30-bit digits instead of 15-bit digits for Python integers.,4258,1118,2009-03-20.16:08:05,1118,5,2
Use :role:`sys.thing` instead of ``sys.thing`` throughout,12301,7641,2017-09-22.20:39:41,7641,4,2
"Use \r\n, not \n for HTTP headers",1597000,4669,2009-03-14.01:27:30,None,5,2
Use __attribute__((deprecated)) to warn usage of deprecated functions and macros,19569,2377,2018-08-29.22:02:46,None,4,1
Use __attribute__(cleanup ...) to detect refleaks,19298,37,2014-10-14.16:25:06,None,4,1
Use __builtin_clzl for bits_in_digit if available,29782,25768,2017-04-22.21:57:14,None,4,2
use __name__ == '__main__' in tools/scripts (bug #624893),1005491,571,2004-08-09.17:31:40,20,4,2
Use __qualname__ together with __module__,22032,15623,2015-09-24.14:28:23,15623,4,2
Use __spec__.__name__ instead of __name__ in the docs where appropriate,25912,16370,2015-12-20.17:24:31,None,4,1
Use _Py_atomic API for concurrency-sensitive signal state,30808,2040,2017-08-06.17:32:41,None,4,2
Use _PyAnyInt_Check() and _PyAnyInt_CheckExact() in 2.7,34234,15623,2018-07-31.06:09:54,None,4,2
Use _PyArg_Parser for _PyArg_ParseStack(): support positional only arguments,29451,2377,2017-02-05.10:39:10,None,4,1
Use _PyBytesWriter for bytes%args,25349,2377,2016-04-26.10:36:43,None,4,2
Use _PyBytesWriter for unicode escape and raw unicode escape encoders,25353,2377,2015-10-12.20:41:38,None,4,2
Use _PyBytesWriter in the binascii module,25384,2377,2015-10-14.13:31:50,None,4,2
"Use _PyTime_ROUND_TIMEOUT in _threadmodule.c, timemodule.c and socketmodule.c",31806,26865,2017-10-18.12:10:20,None,4,2
Use _PyUnicodeWriter API for CJK decoders,17693,2377,2013-04-14.17:31:40,None,4,2
Use _PyUnicodeWriter API in str.format() internals,14744,2377,2012-05-29.23:15:40,None,4,2
Use _PyUnicodeWriter API in text decoders,16311,2377,2012-11-07.22:53:54,None,4,2
Use _PyUnicodeWriter in case_operation(),22649,2377,2015-04-06.21:43:02,None,4,2
Use _set_thread_local_invalid_parameter_handler in posixmodule,23524,16632,2016-09-08.18:22:05,16632,2,2
use _sysconfigdata to itinialize distutils.sysconfig,21272,169,2017-01-24.00:49:45,None,4,2
Use _winapi.WaitForMultipleObjects in Popen.wait(),28168,16413,2016-09-17.02:37:48,None,4,1
Use `raise from` when raising new IncompleteRead,28953,11519,2016-12-12.21:43:40,None,4,1
Use `with` statement in dbm.dumb,21729,12504,2014-06-25.17:49:51,15623,5,2
Use a better BuildRoot tag,970019,3527,2004-08-25.13:01:20,None,4,2
"Use a compile time mechanism to 'find ""import-from"" args'",401243,14,2000-08-27.20:49:44,14,4,2
Use a monotonic clock to compute timeouts,22043,2377,2014-09-17.22:17:19,None,4,2
Use a named tuple for sys.version_info,4285,37,2009-02-06.01:33:27,2799,5,2
use a new -m option in pdb and profile invocations,1061780,334,2004-11-07.06:18:49,None,4,2
Use a set for interned strings,19187,2040,2013-10-10.04:29:05,114,5,2
Use a set to keep interned strings,1507011,1427,2013-10-09.18:06:20,None,4,2
Use a test.support helper to wrap the PEP 399 boilerplate,17037,14000,2013-06-25.05:26:52,None,4,2
Use abc.ABC in the collections ABC,19419,114,2013-12-05.22:27:10,None,5,1
Use abort() for code we never expect to hit,31338,19,2017-11-08.14:06:26,19,4,2
Use absolut paths when importing PYDs,428795,4,2001-05-31.07:25:42,10,4,2
Use add_mutually_exclusive_group(required=True) in zipfile and tarfile CLI,29958,15623,2017-04-07.15:56:35,15623,4,2
Use after free during json encoding (PyType_IsSubtype),24094,20209,2015-05-03.06:45:58,None,4,2
Use after free during json encoding a dict (2),24095,20209,2015-05-03.14:34:58,None,4,2
Use after free during json encoding a dict (3),24105,20209,2015-05-03.14:41:33,15623,4,2
Use after free in Element.extend (1),24091,20209,2015-05-19.12:51:10,15623,4,2
Use after free in Element.extend (2),24092,20209,2015-05-03.06:43:54,None,4,2
Use after free in Element.remove,24093,20209,2015-05-03.06:44:43,None,4,2
Use after free in get_filter,24096,20209,2015-05-03.15:30:09,None,4,2
use after free in key sharing dict,29438,25467,2017-10-23.17:48:04,10371,4,2
use after free in load_newobj_ex,24552,4455,2015-07-05.21:32:51,None,2,2
Use after free in PyDict_merge,24407,20209,2015-07-18.20:52:29,None,4,2
Use after free in PyObject_GetState,24097,20209,2015-11-25.16:37:39,2040,4,2
Use after free in pystate.c,18328,3108,2013-07-01.21:43:36,None,4,2
Use after free in siftdown (1),24099,20209,2015-05-04.11:21:46,114,4,2
Use after free in siftdown (2),24100,20209,2015-05-04.11:22:45,114,4,2
Use after free in siftup,24101,20209,2015-05-04.11:22:19,114,4,2
Use after free in string '%c' formater,29044,21530,2016-12-22.07:39:27,21530,4,2
Use after free in xmlparser_setevents (1),24103,20209,2015-12-24.09:54:27,15623,4,2
Use after free in xmlparser_setevents (2),24104,20209,2016-01-03.06:22:14,None,4,2
Use allowZip64=True by default,17201,15623,2014-03-10.01:35:02,15623,4,2
Use an accurate clock in timeit,13481,2040,2011-11-29.10:40:21,None,4,2
Use an iterative implementation for contextlib.ExitStack.__exit__,14963,1309,2012-06-12.20:45:01,None,4,2
Use application icon for IDLE,20406,15623,2014-02-08.14:46:52,155,4,2
Use arc4random under OpenBSD for os.urandom() if /dev/urandom is not present,22542,20228,2016-09-20.21:50:49,None,4,2
use argparse for the calendar module,25499,17286,2015-10-28.20:25:30,None,4,2
Use argparse for the zipfile module,28115,15623,2017-04-01.06:41:51,15623,4,2
Use argparse in email example scripts,18972,15623,2013-10-06.08:46:53,15623,4,2
Use argparse in the calendar module,18973,15623,2015-11-01.15:18:40,15623,4,2
Use argparse in the diff script,18974,15623,2014-07-15.10:25:21,None,4,2
Use argparse in the profile/cProfile modules,18971,15623,2018-07-11.17:43:50,None,4,1
Use argparse in the uu module,18979,15623,2014-08-08.02:28:58,None,4,1
use argparse instead of getopt,25475,17286,2015-10-25.19:10:56,None,4,2
Use argparse instead of getopt in test.regrtest,15302,12075,2013-01-08.01:10:39,None,4,2
Use assertEqual in test_pydoc,21786,12504,2014-06-21.19:09:35,114,4,2
"use assertIsNone(...) instead of assertEquals(None, ...)",10825,11727,2011-01-06.05:34:46,11727,4,2
Use async/await through asyncio docs,25501,37,2015-10-29.20:34:26,12260,4,2
Use autoconf to detect OpenSSL and libssl features,32598,3108,2018-01-20.12:21:53,None,4,2
Use backslashreplace in pprint,19100,15623,2017-12-19.07:02:52,12,4,1
"Use base 2**30 for Python longs, when possible",5303,8,2009-02-18.06:21:31,None,4,2
use basestring where possible,806246,1178,2003-09-17.05:52:04,None,4,2
Use Better Default Ciphers for the SSL Module,20995,17248,2014-04-23.14:28:37,None,4,2
Use better default context in asyncio,22641,2040,2014-10-15.15:01:00,None,4,2
Use better idiom in unittest example,21589,12504,2014-05-27.12:29:16,12260,4,2
Use binary prefixes,17193,15623,2013-02-16.15:34:01,15623,4,2
Use binascii.b2a_qp/a2b_qp in email package header handling?,14734,9663,2014-07-02.21:41:50,None,5,1
use bsddb185 if necessary in dbhash,727137,15,2003-05-05.14:17:33,19,4,2
Use builtin boolean if present,559288,15,2003-01-22.18:21:40,15,4,2
Use builtins to create types,449083,8,2001-08-08.16:02:26,8,4,2
use bytes for code objects,1022,35,2007-10-24.20:02:52,5,5,2
Use bytes.fromhex(),28992,15623,2016-12-21.19:29:17,None,4,2
Use C type names (PyUnicode etc;) in the C API docs,8939,2040,2012-11-08.07:55:04,2377,4,1
Use C3 MRO algorithm,618704,5,2002-11-14.19:50:56,5,4,2
Use C99 functions in math if available,26121,15623,2017-09-15.16:57:46,None,4,2
Use calloc in set resizing,22030,114,2014-07-22.08:06:02,2377,4,2
Use calloc() instead of malloc() for int << int (lshift),21419,2377,2014-05-12.20:48:01,None,4,2
use CC to test compiler flags in setup.py,17361,9108,2013-03-07.00:25:56,None,4,2
Use CFLAGS when extracting multiarch,22981,2040,2016-07-13.03:16:56,None,4,1
Use charset in email.Utils.encode,486375,3325,2001-12-03.19:26:41,19,3,2
Use clock_gettime() in pytime.c,22287,2377,2014-08-29.13:43:07,None,4,2
use computed goto's in ceval loop,1408710,1535,2006-02-17.08:43:21,None,4,2
Use computed gotos by default,9203,2040,2010-08-13.22:26:56,2040,4,2
Use concrete classes inherited from OSError instead of errno check,16705,10303,2018-01-29.13:48:32,10303,4,2
Use confirmations rather than assertions,401534,99,2000-09-18.19:25:56,99,4,2
Use context manager protocol for more multiprocessing types,15064,13976,2015-04-28.01:38:05,None,4,2
Use correct encoding for printing SyntaxErrors,1031213,940,2007-11-15.20:40:02,8,3,2
Use correct executable manifest for windows,30731,26429,2017-07-13.19:52:27,16632,4,2
Use CPython instead of Python when talking about implementation details,33888,27773,2018-07-08.00:25:16,12260,4,2
Use CXX in Misc/Makefile.pre.in and Modules/makesetup,402691,5,2000-12-06.23:47:21,5,4,2
use datetime for calendar.py,658405,114,2002-12-25.16:39:08,114,4,2
Use datetime in _strptime,691928,37,2003-03-09.07:56:49,None,4,2
use datetime instead of time in xmlrpc,658742,114,2002-12-26.18:21:24,None,4,2
Use deque instead of list the threading.Condition waiter queue,17385,114,2013-03-11.01:46:52,114,4,2
Use designated initializers to define PyTypeObject types,29260,2377,2017-02-01.16:52:57,None,4,2
use different mechanism for pythonw on osx,6834,925,2010-01-08.09:08:34,925,4,2
Use directories from configure rather than hardcoded,858809,1237,2011-03-16.13:55:16,4555,4,1
"use distutils terminology in ""PyPI package display"" section",17311,12075,2015-07-06.16:49:25,None,4,1
Use divide-and-conquer for faster factorials,8692,5251,2010-05-16.08:45:30,1118,4,2
"Use dlopen() to load extensions on Darwin, where possible",1454844,3689,2006-04-09.20:37:15,57,4,2
Use dynload_shlib on newer HP-UX versions,1516897,729,2011-05-04.19:50:41,None,5,2
Use en-dashes for ranges in docs,28763,15623,2016-11-26.11:51:30,12260,4,2
Use enum names as values in enum.Enum() functional API,17961,1309,2013-06-19.14:07:53,12590,4,2
Use errorlevel of Sphinx main() in Doc\make.bat,33670,27773,2018-05-29.22:31:06,16632,4,2
Use extended syntax of `set` command in activate.bat/deactivate.bat batch files.,17743,15108,2013-05-20.22:39:25,None,4,2
Use fast call in method_call() and slot_tp_new(),27841,2377,2016-08-24.23:19:06,None,4,2
"Use FASTCALL for collections.deque methods: index, insert, rotate",29452,2377,2017-02-06.16:00:26,114,4,2
Use FASTCALL in dict.update(),29312,2377,2017-01-19.11:45:26,None,4,2
Use FASTCALL in typeobject.c call_method() to avoid temporary tuple,29507,2377,2017-03-14.21:38:51,None,4,2
Use faster URL shortener for perf.py,17785,3805,2013-04-20.20:00:47,3805,4,2
Use fastpath in asyncio.sleep if delay<0,32351,10303,2017-12-17.14:42:09,None,4,2
Use FileRead and FileWrite in fileio.c on Windows,17723,126,2013-04-13.23:19:37,None,4,1
"use first_name, not first, in code samples",1021621,1913,2005-07-17.21:20:06,93,5,2
Use flush() before os.exevp(),1579477,735,2008-09-28.00:17:26,None,4,2
Use forward compatible macro in example code for creating new type,29165,10371,2017-02-21.12:14:16,12260,4,2
Use full paths in _path_created cache,401679,20,2000-09-30.17:52:08,44,4,2
"Use GCC __attribute__((alloc_size(x, y))) on PyMem_Malloc() functions",29674,2377,2017-03-15.01:36:42,None,4,1
Use GCC visibility attrs in PyAPI_*,11410,14,2017-09-01.10:25:58,None,4,2
Use GCC4 ELF symbol visibility,1192789,636,2006-04-15.08:45:27,None,4,2
Use generic license web page rather than requiring release-specific license pages,21572,5248,2014-05-31.06:53:55,None,4,2
Use getaddrinfo() in urllib2.py for IPv6 support,1675455,3776,2012-07-20.14:31:47,1741,4,1
Use GetSystemTimeAsFileTime() to get a resolution of 100 ns on Windows,13845,2377,2012-02-08.21:52:46,None,4,2
Use GetTickCount/GetTickCount64 instead of QueryPerformanceCounter for monotonic clock,14397,2377,2012-04-29.00:44:14,None,4,2
Use glibc's getline() extension,402469,20,2000-11-27.22:15:56,20,4,2
use gvfs-open/xdg-open in Lib/webbrowser.py,14493,169,2012-04-05.01:51:54,169,4,2
Use hash if available to optimize a==b and a!=b for bytes and str,16286,2377,2014-04-17.04:58:58,None,4,2
Use high-performance os.sendfile() in shutil.copy*,33639,3080,2018-05-28.16:29:08,None,4,2
Use highest pickle protocol in multiprocessing,26507,23558,2016-09-09.21:02:12,None,4,2
Use html.escape to replace _quote_html in http.server,26585,21530,2016-04-11.07:15:56,None,4,2
use HTTPS by default for uploading packages to pypi,12226,2984,2013-12-22.00:50:04,None,3,2
Use HTTPS in help(),32440,27643,2017-12-28.15:17:40,12260,4,2
Use https instead of http in the PYTHON_VERSION constant,27670,17286,2016-08-04.05:02:56,None,4,2
Use HTTPS protocol in links,26736,15623,2016-05-08.21:06:13,15623,4,2
Use ifilter in sets module,678899,114,2003-02-02.14:33:35,5,4,2
Use importlib instead of pkgutil in runpy,15314,1309,2012-07-18.11:15:25,1309,1,2
Use importlib.util.module_to_load in all loaders in importlib,18115,37,2013-06-16.21:23:27,37,4,2
"Use include """" in stead of <> and staticforward declarations",400670,79,2000-06-29.00:07:06,None,4,2
use INSTALL_SCRIPT to install scripts,406271,2,2001-03-06.13:31:51,None,4,2
use INSTALL_SCRIPT to install scripts,406272,2,2001-03-06.13:30:35,None,4,2
Use IntEnum and IntFlags in ssl module,28025,3108,2017-03-07.18:49:32,None,4,2
Use interactive input even if stdout is redirected,24829,16557,2015-09-01.08:37:12,None,4,1
Use INVALID_FILE_ATTRIBUTES instead of magic numbers,4905,9351,2013-10-25.10:34:56,3951,4,2
Use ISO timestamp in diff.py,7582,2984,2012-06-22.18:00:30,1427,4,2
use just built python interp. to build the docs.,823775,169,2004-08-18.22:28:45,169,4,2
use keyword 'as' in _xmlplus,7087,11177,2009-10-09.03:13:20,None,4,2
Use Linux O_TMPFILE flag in tempfile.TemporaryFile?,21515,2377,2015-10-20.22:20:25,None,4,2
Use list comprehension in timeit module instead of loop with append,33152,28180,2018-03-30.19:04:38,None,4,2
use LIST_APPEND opcode for X.append() method calls,1292625,35,2005-09-28.05:55:15,None,4,2
Use local timezone offset by default in datetime.timezone,14083,1309,2012-02-22.04:24:18,None,4,2
"Use locale encoding to encode command line arguments (subprocess, os.exec*(), etc.)",8775,2377,2010-07-24.11:26:52,None,4,2
Use locale.nl_langinfo in _strptime,8915,37,2016-09-10.18:34:48,1427,5,1
Use logical negation of integers directly in arithmatic propostions and equations,33344,28368,2018-04-24.13:21:20,None,4,2
Use long dash,18529,15623,2013-12-24.17:37:50,12260,4,2
use LSB version information to detect a platform,1565037,169,2007-12-18.12:00:15,4,4,2
Use macros for surrogates in unicodeobject.c,12751,2377,2011-08-16.13:22:49,None,4,2
Use macros from pyctype.h,9067,11089,2013-02-09.21:39:31,None,5,2
use malloc() for better performance of some list operations,34151,26421,2018-08-11.13:14:26,None,4,2
Use malloc_usable_size() in pymalloc for realloc,31911,2377,2017-11-24.01:26:37,None,4,2
Use METH_ constants in Modules,477750,8,2002-01-17.23:18:25,None,4,2
Use METH_FASTCALL in str methods,29286,2377,2017-06-09.11:24:56,None,4,2
Use METH_O and METH_NOARGS where possible,660559,114,2003-01-03.08:28:33,114,4,2
Use METH_VARARGS constant in Modules/,401033,20,2000-08-03.12:40:56,20,4,2
"Use monotonic time for sched, trace and subprocess modules",14690,2377,2012-05-30.11:31:52,None,4,2
use more standard approach for detecting long double in configure,33512,16951,2018-05-16.05:58:19,None,4,2
Use MoveFileEx() to implement os.rename() on windows,1704547,2552,2007-05-01.14:44:07,8,4,2
Use named constants internally in the re module,22434,15623,2014-11-11.19:23:50,15623,4,2
Use namedtuple in string.Formatter.parse iterator response,29696,204,2017-10-18.09:30:37,None,4,1
Use new exception handling syntax in Subprocess documentation,16332,14674,2012-10-28.01:59:05,7047,4,2
Use new expat version 2.0,1433435,1962,2006-06-20.06:25:53,None,4,2
"Use new GC API (generators, iters, ...)",531480,83,2002-03-18.20:47:40,5,4,2
Use new madvise()'s MADV_FREE on the private heap,26601,4190,2017-08-23.14:25:57,None,4,1
"Use new style classes in {class, static}method examples",17035,14674,2013-02-22.05:54:27,7047,4,2
Use newer unittest methods throughout tests,9443,7641,2010-07-31.22:39:38,None,4,2
Use O_CLOEXEC in the tempfile module,16860,2377,2013-03-03.17:55:40,None,4,2
"Use of ""except:"" in logging module",411881,294,2007-01-23.03:20:06,328,5,2
"Use of ""utime"" as variable name in Modules/posixmodule.c causes errors",22568,17105,2014-10-12.06:45:35,None,4,2
Use of '1' instead of 'True' as 'splitlines' argument in difflib documentation,21232,19426,2014-04-20.23:54:15,155,4,2
Use of 'L' specifier is inconsistent when printing long integers,11039,13546,2011-01-28.13:12:47,None,4,2
Use of __del__ on descriptors ambiguous,485678,5,2001-12-03.00:08:50,5,3,2
Use of __oct__/__hex__ should raise a Py3K warning,2352,37,2008-04-27.19:08:36,None,2,2
Use of builtin file should give Py3k warning,2374,4455,2008-03-18.01:07:39,5,4,2
use of cPickle in multiprocessing,3325,5895,2009-01-18.19:46:00,5849,4,2
Use of deprecated cgi.escape,22924,15623,2014-12-01.08:55:16,15623,4,2
Use of file.xreadlines() should raise a Py3K warning,2353,37,2008-05-17.22:13:16,None,2,2
Use of ftplib or urllib causes page fault on exit,219123,2,2000-11-06.22:32:14,5,4,2
Use of MutableMapping in os module slows down interpreter startup,19218,14000,2014-02-26.18:26:34,3108,4,2
Use of None in min and max,22979,20509,2014-12-13.04:06:37,None,4,2
"Use of Py_ARRAY_LENGTH on pointer in posixmodule.c, win32_wchdir",25846,22661,2015-12-18.17:45:54,None,4,2
Use of set_tunnel with default port results in incorrect post value in host header,22095,17261,2015-05-28.19:44:32,15623,4,2
Use of super overwrites use of __class__ in class namespace,12370,9716,2013-05-15.20:28:08,None,4,2
Use of term sequence in Reference 6.3	Assignment	Statements,5296,4873,2009-02-18.00:25:22,93,4,2
Use of the `curses' resource not enabled,5356,10141,2009-02-24.02:45:55,None,4,2
Use only printable Unicode chars in reporting % errors,402940,20,2000-12-19.22:50:25,6,4,2
use packaging in setup.py,14790,2040,2012-07-16.06:50:38,None,None,2
Use partition and enumerate make getopt easier,20457,18935,2014-06-19.22:15:16,None,4,2
use paths relative to CPython root in documentation building instructions,16813,13754,2012-12-29.20:47:52,12260,4,2
Use PEP 397 py launcher in windows faq,32613,23063,2018-02-05.14:37:36,23063,5,1
Use PEP8 in documentation examples,26030,23063,2016-01-10.15:59:00,12260,4,2
Use pickle protocol 4 by default?,23403,15623,2018-07-24.09:17:14,12704,4,2
Use pkg-config to find dependencies,28207,24634,2016-09-30.16:19:40,None,4,1
Use pprint in displayhook,19103,15623,2013-09-29.20:22:18,None,4,1
Use print(file=sys.stderr) instead of sys.stderr.write() in IDLE,22420,15623,2014-09-20.02:41:02,None,4,2
Use proper class markup for random.Random docs,33783,1309,2018-06-20.08:31:04,114,5,1
Use proper command line parsing in _testembed,24932,1309,2017-05-09.06:10:51,16632,4,2
use proper gettext plurals forms in argparse and optparse,4391,9597,2011-03-20.19:06:48,7641,4,2
Use public classes for contextlib.suppress and redirect_stdout,19330,1309,2013-10-26.12:21:32,1309,1,2
Use Py_CLEAR to safe clear attributes,20437,15623,2014-02-09.13:56:25,15623,4,2
Use Py_CLEAR where necessary to avoid crashes,1020188,1638,2012-11-10.01:50:57,None,4,2
Use Py_CLEAR() in stringobject.c and bytesobject.c,17034,15623,2013-02-02.16:53:16,15623,4,2
Use Py_IDENTIFIER in Python-ast.c,29369,10371,2017-01-26.00:20:13,None,4,2
Use Py_RETURN_NONE and like,28999,15623,2017-01-23.08:31:15,15623,4,2
Use Py_RETURN_NONE in sqlite3 module,26687,14674,2016-04-09.04:39:44,None,4,2
Use Py_SIZE(x) instead of x->ob_size,27725,22207,2016-08-17.14:03:30,None,4,2
Use Py_ssize_t for rangeobject members,1540617,1427,2010-05-01.00:23:58,None,4,2
Use Py_UCS4 instead of Py_UNICODE in unicodectype.c,5127,9436,2010-08-19.12:56:22,1076,4,2
Use Py_uintptr_t instead of void* for atomic pointers,26161,2377,2016-03-25.09:11:26,None,4,2
Use Py_XDECREF() instead of Py_DECREF() in MultibyteCodec and MultibyteStreamReader,3305,2377,2008-07-16.22:04:28,None,4,2
Use PyArg_UnpackTuple where possible,659536,114,2002-12-29.16:35:18,114,4,2
Use PyMem_New instead of PyMem_Malloc,23446,15623,2015-03-02.18:59:12,None,4,2
Use PyModule_AddIntMacro() in Modules/gcmodule.c,7373,3945,2009-11-23.02:34:02,None,4,2
