Project/Initiative Name,Country/Countries,Year,Organisation,Description,Novelty,Impact & Results,"Other relevant URL(s) - eg reports, press",Source,Language
Digital Hub: Accelerating Digital Municipalities,Chile,2022,Grupo Imagine,"The solution seeks to accelerate digital transformation in the municipal sector through the connection with startups. Using corporate venturing as a linkage mechanism benefiting the municipalities and communities, since any solution will improve the quality of services provided to neighbors. Although corporate venturing is widely used in the private sector, we seek to validate its results in the municipal sector during this experience.

Promoting TD (Transformation Digital) requires investment in both technology and human capital, since it is people who ultimately use and improve processes available within an organization, but given the scarcity of resources available in municipalities, corporate venturing is a quick way to accelerate TD. This is a mechanism widely used by companies in Latin America, and that by 2020 had 460 of these initiatives (IESE 2020), but it is not yet a mechanism used by the municipal sector, so through this initiative we seek to innovate in the mechanisms to promote digital transformation.

Thus the objective of the Digital Hub, from now on Municipia which is its fancy name, is to promote digital transformation in 20 municipalities in Chile, diagnosing, suggesting and accompanying the implementation of technological solutions, seeking that all municipalities have at least one implemented pilot. 

The municipalities benefit from this innovation, both in terms of knowledge about the innovation ecosystem and learning obtained through the implementation of this project. In addition, the implementation of any technological project will have a direct impact on the municipality's officials and neighbors, since the digitization of any process will improve its effectiveness and increase the satisfaction of the neighbors. Which on the other hand improves the national innovation ecosystem, by involving municipalities in this space, developing ""new markets"" for Govtech.","In our proposal we are looking for startups in the process of scaling and therefore with a robust solution. It is different because it seeks that municipalities use as suppliers companies in the process of growth, and that have a different dynamic to the large technology providers with which they work and that therefore in many cases provide a mediocre service for the sector. 
It is innovative because it seeks to position the municipalities within the national and global innovation ecosystem, positioning municipal management as a modern management for municipalities and that in the short term can generate positive impacts for officials and the various communities they must manage and serve.","So far the main impact is associated with outreach, where more than 50 officials have participated in the survey process, more than 800 people participated in the presentation of solutions and more than 10 working sessions have been held between municipalities and startups to define the parameters of the collaboration.

The expected results for the future are to evaluate the number of agreed pilots, the results of each pilot and the satisfaction of the municipality with the provider. We expect that the solutions will mainly improve the speed of execution of the various processes within the municipality.",https://municipia.cl/ ,Call for Innovations,Spanish
Participation Task Forces,Turkey,2021,Union of Municipalities of Türkiye,"Building on the existing experiences of Turkish municipalities with the establishment and operation of CAs, a bilateral cooperation project was designed and implemented by VNG International (International Cooperation Agency of the Association of Netherlands Municipalities) in partnership with the Union of Municipalities of Türkiye (UMT). The project was aimed at creating Participation Task Forces to help the flourishing of participatory processes.

Citizens' assemblies (CAs) were incorporated in the new Law on Municipalities in 2005. As an opportunity to strengthen participatory processes, and to improve participatory decision-making methods at local level, Participation Task Forces (PTFs) were established. The innovative nature of the PTFs is that for the first time elected municipal councillors, appointed municipal officials, and representatives of CAs worked together on developing participatory policy proposals for their municipality.

As a first step, a team of trainers was formed within. An intensive 72-hour training programme on participatory decision-making processes, methods and tools was delivered to this team over the course of four training rounds. Secondly, 3 pilot municipalities were selected from among the metropolitan district municipalities of Ankara.  After the identification of pilot municipalities, PTFs were established in each pilot. These PTFs for the first time brought together elected municipal councillors, appointed municipal officials, and members of CAs, resulting in a unique and innovative exercise to discuss participatory processes, methods, and tools.","Participation Task Forces are innovative because:
1) It allowes elected municipal councillors, appointed municipal officials, and members of citizens' assemblies (CAs) to hear each other's approaches to participatory decision-making, learn each other's priorities, and discuss ideas on improving participation.
2) Bringing three pilot PTFs from different municipalities created a highly productive platform for exchanging experiences.
3) The close co-operation of the PTFs with the UMT Team allowed for the creation of mutual capacity building channels that create possibilities for further interaction and collaboration.","3 pilots were carried out, which produced policy recommendations for the three municipalities. A brief survey is being conducted in October 2022 with the UMT Team and the PTFs to have a broad assessment of the overall project impact. In line with the results of the survey, a sustainability strategy will be delivered to UMT to ensure further commitment in broadening the project's impact after its termination.",https://annual-update-2022.vng-international.nl/involving-citizens-in-decision-making-1.html ,Call for Innovations,English
Community Transportation Dispatch by Co-Design,Canada,2022,"Outpost for Public Sector Innovation, Government of Nova Scotia","Nova Scotia has 21 Community Transportation Operators (CTOs) serving mainly vulnerable populations in rural areas. The CTOs were unable to feasibly procure a common dispatch and scheduling solution that met their needs, leaving them with inefficiencies and inability to meet growing needs. The Outpost for Public Sector Innovation designed a new approach to co-designing and procuring solutions to complex challenges. Together with stakeholders, partners and vendors, two viable solutions were developed.

These solutions were developed with a three-phase project. First, a Request for Supplier Qualifications was run to engage stakeholders, partners and vendors in discussions about desired outcomes, shared values, and commitment to new approaches. Second, two selected vendors were involved in a co-design phase for discovery, ideation, prototyping, testing and evaluation with stakeholders, partners, and users. Lastly, one solution was procured.

Thanks to this project, two successfully co-designed solutions were tested and evaluated in real time with upfront issues addressed prior to procurement and implementation. This brought to the implementation of the new solution that is scheduled for Fall/Winter 2022/23, which provided the solution to a decade-long problem that will support some of the most vulnerable communities in Nova Scotia and the growth of community transportation into the future.","This project is innovative in the following ways:
1. Working together with Government Procurement, we were able to successfully marry procurement processes which are rule-bound and constrained with a co-design process that is emergent and flexible.
2. This approach hadn't been tried in Nova Scotia prior to this project. We were breaking new ground.
3. The vendors hadn't before engaged in this kind of co-design process with their clients and users.
4. The novel approach and solutions developed enabled Community Transportation Operators to find efficiencies, optimize routes, collaborate across organizations, and plan for the future growth and needs of citizens.","The Community Transportation Dispatch by Co-design project was completed in March 2022. Interviews with partners and stakeholders were conducted to evaluate the new Innovation Procurement approach. 

Implementation of the solution across the Province will begin this Fall 2022. Given the upfront engagement and participation of users, partners and stakeholders, and the multiple testing of the solution, we anticipate a successful implementation.",,Call for Innovations,English
Future Tech Challenge,Ireland,2021,Department of Public Expenditure & Reform,"The Future Tech Challenge (FTC) is a pilot initiative led by DPER to connect and collaborate across the wider ecosystem, and engage in transformative innovation by experimenting with, and applying new technology to address pressing public sector problems and opportunities that deliver improved services to the public. Drive innovation using emerging technology, enhance collaboration, meet National strategic priorities, generate knowledge & learnings and develop prototyped solutions.

First, DPER engaged with a number of Multinational Companies (MNC) - AWS, Cisco and IBM - to understand how their experience and expertise could contribute to the Government’s ambition and that committed to finance the pilots. A call for application was opened divided in three categories: cloud computing, remote connectivity, and artificial intelligence. One winner was selected for each of them.

Specifically, 36 public service bodies submitted proposals that involved collaborating with industry. In addition to the 3 winning projects, all shortlisted projects further engaged with the partnering companies to explore the use of emerging technology. A further 3 projects successfully secured funding through DPER national Public Service Innovation Fund.",DPER succeeded to collaborate with industry to investigate better use of technology to solve problems facing the Public Service and implemented them in three pilots selected via procurement.,"The Future Tech Challenge directly contributes to enhancing the innovative capacity of the Irish public service through collaboration and engagement with the wider innovation ecosystem. The three winning projects are currently in a piloting/testing phase, whereby all initial development has been completed, and projects have been deployed to target user groups for testing and feedback. All projects are expected to be completed by Q1 2023.

In addition, work is underway for a second iteration of the Future Tech Challenge which seeks to enhance collaborations and partnerships with the strong SME sector in Ireland. The second iteration may feature adjustments to the administrative process, based on learnings and feedback received from the first iteration.","https://www.ops.gov.ie/future-tech-challenge/ 
https://www.youtube.com/watch?v=7vz_DUlDs_Q 
https://www.youtube.com/watch?v=WUnEgj1O40A 
https://www.youtube.com/watch?v=_TA8JcKi8sg ",Call for Innovations,English
Network of University Legal Clinics,Morocco,2021,"Faculty of Legal, Economic and Social Sciences of Hassan 2 University, Casablanca","The Network is an initiative born within the framework of the project ""Legal Empowerment of Migrants"" financed by the European Union within the framework of the Emergency Trust Fund and implemented by Enabel, in partnership with the Ministry of Justice and the Ministry of Foreign Affairs, African Cooperation and Moroccans Residing Abroad, in charge of Moroccans Residing Abroad

The objectives of the Network are to:
- Pool the experiences of the different partner clinics in teaching and practicing clinical methodology promoting the exchange of experience and expertise, including the tools and methodologies developed to ensure a tangible impact for the target populations.
- To share experiences in the preparation of pedagogical tools necessary for the training of students in the different aspects of the migration issue in Morocco

The project supported the digital transformation process of the partner legal clinics, with the objective of opening these structures to their external environment, especially to migrants as beneficiaries of legal advice. This process also benefits students through the provision of online courses on migration law and clinical methodology. This digitalization also strengthens the collaborative work, visibility and enhancement of the actions of Moroccan university legal clinics.","The network of legal clinics and its approach of digitalization, proximity and promotion of innovation has created a spirit of initiation among the four pilot clinics that each has been led to produce its own innovations suitable for their respective targets and themes they are specialists in such as migration. 
Namely: 
- Two digital platforms for the clinic in casa and tanger 
- A podcast on rights by the casa clinic 
- A mobile legal caravan by the clinic in Rabat","118 migrants, refugees and asylum seekers accompanied in their access to rights by the legal clinics of Casablanca, Rabat and Tangier. (Follow-up of the EMPJ project actions)
2 platforms developed 
A legal caravan conceptualized
Several scientific research projects have been supported 
Future : Sustainability of the clinical approach, duplication in other regions, institutionalization of the network",www.cju.ma ,Call for Innovations,French
Enchantment Days and the impact of personalization for the citizen,Brazil,2022,Ministry of Economy,"Enchantment journeys use data intelligence and a messaging system to interact with the citizen, in a personalized way, in channels of greater use, especially: 1. email; 2. push notifications in the gov.br application; and 3. SMS. So far, more than 5.7 million personalized messages have been sent to Brazilian citizens. Behavioral insights were also used in the elaboration of the strategy, aiming to achieve the greatest possible effectiveness, in addition to A/B tests.

The creation of the gov.br portal represented a transforming milestone in this supply, as well as in the digitalization of services. It enabled the unification of channels and made it easier to find services in a more direct way. Still, citizens were not communicated proactively and in a personalized way about the existence of public policies with a positive and direct impact on their lives. Even if this kind of information existed, it was generally restricted to government channels - portal, social networks, etc. -, not reaching the citizen in the channel that was most convenient for them.

It is important to emphasize that these are not generic messages. They are not large-scale mailings, seeking to reach the largest number of people who, in many cases, would have no interest in that benefit. In all situations, the messages were directed to the real users of public policies, rather than potential users.

Sending personalized notifications to the citizen brings the government closer and facilitates consumption. Even though there are no specific indicators regarding citizen satisfaction with the initiative, the significant increase in the use of the services offered - compared to the group that was not notified - strongly points to the high effectiveness of the action.","The project brings some important innovations: 
- First, it uses big data to create the lists for sending communications and, subsequently, to analyze a significant amount of data about the effectiveness of the action. - The process of getting to know the government's initiatives has been transformed, since the citizen is no longer the only one responsible for seeking information that is relevant to him/her, since he/she can now receive it, conveniently, in channels that are more accessed by him/her. 
- Proactive, personalized communication is also innovative, since we treat each citizen as unique.
- This had not yet been done on a large scale in the Brazilian government.","Some significant results include:
- Sending messages to 900 thousand students with overdue debts. In this audience, there was a 73% increase in renegotiations of the Student Financing Fund (FIES), when compared to a non-notified control group; 
- It is estimated that R$1.2 billion were renegotiated more just because the messages were sent. This estimate was made by comparing the renegotiation rate and the renegotiated amount between the notified group and the control group; 
- Sending messages to more than 3.5 million small business owners encouraging them to join the Rescheduling Program for the Payment of Debts within the scope of Simples Nacional (RELP). In this public, the renegotiation rate was 167% higher than in the control group.
- The project is monitored by receiving and analyzing reports that statistically show the quantitative results for each type of message sent, including the control groups.",www.gov.br ,Call for Innovations,Portuguese
Digital Transformation: A data-driven CGR,Chile,2021,Office of the Comptroller General (CGR),"SAIs have a greater amount of available data that need to be exploited to improve their work, while deepening the digital transformation of the State to improve the quality of these. We seek to enhance data analysis through the use of algorithms to anticipate risks in the fight against corruption, as well as to improve the channels for citizen complaints. We apply the use of data and technologies in our daily work, impacting the State.

The aim is to enhance the SAI's data analysis through the use of algorithms to anticipate sources of risks that support the fight against corruption, in addition to improving the channels for citizen complaints. On the one hand, this is achieved by developing internal and external data reports; training people in a control and data analysis function profile; consolidating a technological ecosystem to support the initiative; and establishing a data governance model. On the other hand, we generated a new communication channel for sending complaints from citizens and documents from Public Institutions, which allows us to speed up times and increase the traceability of the status of shipments, applying intelligent decision engines for internal document flow.

There is an ambitious agenda of milestones that add data to the data warehouse, automation of the State's document processing, and a plan to convert professionals into data scientists.","Pioneering initiative in the use of data, which integrates algorithms as a means for better public control, promoting the fight against corruption. The 5 dimensions on which it is structured allow parallel progress and institutionalization (strategy, data, people, technology and governance) to consolidate a modern State that is close to the citizens.

It boosts the modernization of the State Administration by establishing a new way of document processing and improving interactions with citizens, making this SAI a benchmark in the country.","'- Development of a new professional profile
- Modification of the audit process and methodologies.
- Modification of legal and accounting control.
- We improved the way we relate to citizens, through a clear language and transparent processes. 
- Expand the group of people specialized in the use of data.
- A more participative citizenry in the fight against corruption.

By the beginning of 2023, 50% of CGR staff will use data in their processes. An annual average of 680 audits will be planned with the use of data (25% today). All services interoperate with CGR electronically.
All interactions with citizens will be through digital channels.",https://www.contraloria.cl/web/cgr/detalle-noticia/-/asset_publisher/cSCBr158rmW5/content/contraloria-impulsada-datos ,Call for Innovations,Spanish
Prebases: a strategy to strengthen the planning of contracting procedures - Tianguis Digital,Mexico,2022,Digital Agency of Public Innovation (ADIP),"Prebases is the regional benchmark for modernization in procurement, which promotes citizen participation in the planning of strategic and high-impact procurement procedures. In an innovative, open, unique and replicable way, it benefits the more than 9 million inhabitants by creating a space for listening and citizen participation; as well as the 90 purchasing units by strengthening their planning, contracting better products and obtaining savings for the CDMX.

Prebases is the strategy that provides a space for the presentation and review of strategic public procurement projects where citizens, organizations and companies can comment, give their opinion and suggest adjustments to the proposed bases for public bidding procedures. The Prebases module arises from the need to improve market studies and strengthen the technical documents for the acquisition of goods and services that, due to their nature, impact or technological progress, are not well known by the requesting area.

On the other hand, Prebases facilitates the administrative work of the 90 responsible spending units of the CDMX by strengthening their market studies and obtaining direct information from suppliers, experts and citizens for the construction of technical annexes and bidding documents, which translates into the acquisition of efficient and quality goods and services. Additionally, this initiative is sustainable because it does not require extra financial resources for its operation; and it is managed and operated by the human resources assigned to the ADIP. 

The direct beneficiaries of this initiative are the more than 9 million inhabitants of Mexico City, who thanks to the strengthening of the technical annexes, bidding bases and planning documents for public procurement, can receive more quality goods and services; they can also actively participate in the planning of strategic and high impact purchases made by the government.","Prebases is an innovative initiative because it is the first platform in Latin America through which it is possible for citizens, osc, suppliers and government to participate interactively in the discussion and development of planning documents and bidding bases for strategic or high impact procurement procedures of the City.

This tool strengthens transparency, accountability and modernization of public procurement, which helps in the transition to an open government, where citizens and government collaborate to achieve more efficient and better planned purchases; encouraging the acquisition of quality goods and services and promoting greater competition in bidding procedures.","Since its implementation in February 2022 to date, the discussion of the planning documents of 8 contracting procedures of four different spending units has been carried out, receiving more than 800 comments, suggestions and questions.

In addition, those responsible for the procedures have integrated 39 comments issued by citizens, osc or suppliers for the preliminary documents and technical annexes of their procedures; ensuring that citizen participation is important and listened to in this type of exercise.

Finally, the Prebases module has been consulted more than 500 times. It is expected that next year the number of processes under discussion will double and the number of interactions with suppliers, civil society organizations and citizens in the discussion of planning documents will increase by 25%.",https://prebasestianguisdigital.cdmx.gob.mx/ ,Call for Innovations,Spanish
Cardiac Telerehabilitation,Greece,2022,General Hospital Asklepieio Voulas,"The General Hospital Asklepieio Voulas has developed an exercise-based cardiac telerehabilitation program in order to increase the participation of eligible patients in cardiac rehabilitation services. Through this, Government and cardiovascular patients will benefit since participation in a CR program can reduce the risks of death and hospital readmissions. To our knowledge this is the first attempt to develop a telerehabilitation program offering a structured, real time, supervised exercise.

The objectives of this innovation are:
- To increase the enrollment and participation in CR services.
- To improve the cardiovascular disease management and reduce cardiovascular risk.
- To reduce hospital readmissions and referral to urban centers.
- To meet the growing needs of the population adopting cost effective national strategies.

Provision of Cardiac Rehabilitation has been directly impacted by coronavirus disease and the measures implemented, highlighting the need to develop telerehabilitation and telemedicine services in order to allow continuity of care for patients who can benefit from remote consultations, while ensuring greater protection for those who are members of vulnerable groups.","Heart disease remains the number one death cause among adult men and women in the world. However, the big majority of patients do not follow the prescribed rehabilitation. The main reasons for this lack of compliance are simple motivation and limited access. Our innovation consists of a specialized software that restores patients’ data and records real time vital signs. Our experienced department can monitor CR sessions in remote hospitals without specialized CR departments, with low cost.",By the implementation of our innovation we expect that more cardiovascular patients will have access to CR programs which will improve their quality of life and reduce morbidity and mortality rates. Innovation's impact is not clear yet.,,Call for Innovations,English
Ajman Attractiveness Model ,United Arab Emirates,2018,Ajman Statistics Center (AJSC) ,"The AJSC has developed a new model to measure the determinants of the ‘quality of life’ in Ajman, covering six key areas of public service. The Model comprises a comprehensive factor measurement framework embedded on a sophisticated web-based application, with inbuilt protocols for scientific data collection, project management, data visualization and reporting. It systematically measures gaps and impact of interventions, via targeted performance assessment of framework factors.

The Ajman Attractiveness Model serves as a unique solution that: 
- Presents a comprehensive, scientifically derived framework of attributes that capture the current considerations of demand ‘drivers’, consumption ‘influencers’, perceptions of access, efficiency, and effectiveness, as well as the future expectations of the public, relevant to the vital public services that shape their perceptions of ‘quality of life’ in the Emirate.
- Leverages the opportunity presented via scientifically collected, refined, and analyzed data to design ‘fit for purpose’ services, develop ‘future proofed’ policies and enhance public service performance.
- Enables ‘razor focused’ continual improvements in specific dimensions of public services as captured by the framework of factors deployed for measurement.

The platform deployed for the administration of 'Ajman Attractiveness Survey' (also referred to as 'Ajman Studies') is a highly sophisticated system with in-built quality assurance, project management and data collection protocols, as well as features for automated analysis, data visualization and real time reporting. It includes various features and mechanisms for survey management, monitoring field work, data quality validation, statistical analyses, data visualization (by geofenced areas, charts, tables), gap analysis and decision support. 

The novelty of the Model is further underpinned in the ‘ripple’ impacts and disruptions it has created in the conventional public policy cycle, clearly translating ‘voice of the community’ into tangible benefits via structural reforms, policy enhancements, programs, and infrastructure. ","The novelty of the Model is embedded not only in its design, but also in terms of how it has transformed the public policy decision making process in relation to vital public services in the Emirate of Ajman. 
The framework architecture, which is the result of comprehensive academic research, follows a ‘user centric’ design, keeping the community’s objectives at the core. The parameters measured across the six service areas are interlinked in such a way that all the experiential aspects that influence the attractiveness of living in Ajman are comprehensively covered.  ","In 2021, 90.7% respondents reported that their local neighborhood got better over the last 3 years. 
Select initiatives implemented include: 
- A total ‘green area’ of 7.7 million sq. m. added, between 2018 and 21', based on the future expectations of the community for higher access to parks  
- The fire alarm coverage across households in Ajman went up by 22.5% between 2020 and 21' 
- A total of 12 'Majlises' are being built to address the community's feedback for higher societal engagement ",,Call for Innovations,English
"Tackling urban heat through data, paying attention to our citizens' perception",France,2021,Bordeaux Métropole ,"Tackling the effects of rising urban heat goes beyond objective physical measurements. For sure, technical services are in need of blended indicators about the effects of local policies: under which conditions tree planting, fountains, urban design contribute to reduce island heats. The project has created such tools, but is also willing to take seriously into account the subjectivity, the perceived heat, the sensations of our citizens, for they contribute hugely to our collective resilience. 

The project presented here aims at creating tools to get reliable indicators not only on the objective effects of public policies but also on the sensation felt, on the subjective thermal comfort of the inhabitants. The model implemented is multifactorial. It makes it possible to establish a map of comfort today, but it also makes it possible to predict the potential effects (objective and subjective) of future policies for the creation of islands of urban freshness, thanks to trees, fountains and other solutions. 

We want to create this knowledge at three scales: the entire urban area, at the level of a neighborhood, at the level of the tree itself. To carry out the project, the prerequisite was a collection of data. This was made possible, for the objective data, by the installation of sensors in 8 cities of the urban area, in sites with various topographical characteristics (public squares, alleys, more or less dense areas, wooded areas ). 

The project established typologies of urban spaces to better measure temperature differences. It took as a reference a very mineral place, without trees, and is now comparing the temperatures with various other archetypes : with a mineral place with trees, with a street with or without trees, with a park, with an urban forest.","The innovation of the project was made possible by the trust give by public decision-makers, and their desire not to launch a major tree planting project (one million trees over 5 years) without having, at the beginning and then throughout the project, precise and useful data. The goal is to maximize the physical impact of the trees, but also to create the social, psychological and simply human conditions so that each plantation provides maximum actual and perceived comfort and collective resilience in the face of urban heat. ","The project has delivered the expected results: 
- Analysis of the first data gathered through sensors and users' surveys 
- Specification of diagnostic and planning tools 
- Modeling of a cartographic tool for urban planning 
- Modeling a large-scale survey tool 
- Sensor rotation (to gather information on different urban areas) 
- Compilation of the set of results and recommendations ",,Call for Innovations,English
"FREIIA, Facilitating Resilience Empowerd by Island's Innovation Approaches ",Netherlands,2022,Province of Fryslan ,"Together with partners from 5 other European countries, the Province of Fryslân developed an innovation model (so-called Tipping Approach) to catalyse and stimulate bottom-up innovations and harness ideas from local stakeholders. Complementing this, a governance model is being developed to provide civil servants with tools to implement these innovations in the social process in a simple and user-friendly way. 

The FREIIA‐ project starts from the belief that existing governance of innovation models, in view of substantially contributing to grand transitions, have limited value and are hardly applicable or effective in the many European regions outside city and industry conglomerates. In addition, the grand transitions require input and availability of easy‐to‐apply new skills and bottom‐up governance models for strategic innovation action planning, with a leading role for skilled local/regional government and community-based “transitioners.” 

In this way, FREIIA develops a necessary design-thinking and practice‐oriented governance framework, considering easy application and fast diffusion in and beyond regional European areas: the Governance of Innovation Intervention Learning Model. This model will be developed by partners from 6 EU countries and, within these countries, includes partners from the so-called quintuple helix.","The project addresses a challenge that is common to local and regional actors in the EU: the need to reform innovation governance. It argues that it is necessary to develop a bottom-up governance model for strategic innovation action planning. It is grounded upon on design-thinking methodologies and the involvement of the quintuple helix actors, meanwhile clearly considering the role of local and regional governments as innovation transitioners. ","The outputs of the FREIIA‐project are multifold. The main results will be: (a)a new Governance of Innovation Intervention Learning Model for a creative, easy, and thus efficient adoption of the EU’s GSCs, in particular the Circular Economy, as well as the potential of a self‐sustaining recurrent innovation process; (b)10 Strategic Innovation Action Plans with follow‐up programs and projects ready for take‐off; (c)digital learning materials to promote the outcomes efficiently amongst a large European group of local community and municipality leaders and their quintuple helix partners; (d) a pioneering cohort of first applicants of the FREIIA approach and (e) the exploration &amp; deepening of crucial scientific questions on and challenges in sustainable transitions.",https://projects2014-2020.interregeurope.eu/islandsofinnovation/ ,Call for Innovations,English
Govtech - Innovative Social Welfare Programme with New Zealand and the Philippines ,New Zealand,2022,Creative HQ ,"The Valenzuela City Social Welfare and Development Office (CSWDO) participated in the 13-week accelerator programme. The programme took the staff from CSWDO who needed to support individuals in crisis situations. They addressed the problems and applied innovation methodologies to create solutions that work. The programme targeted root-cause problems, facilitated collaboration, and upskilled participants – driving better outcomes.

Through research, stakeholder engagement, process mapping and ideation, the Valenzuela CSWDO project team developed several prototypes for potential solutions. To help clients better prepare for the AICS application process, the team developed an information chatbot that provided information on the requirements. Feedback during the prototype testing phase showed that clients found the chatbot to be very helpful, accessible, time-saving, and informative for both the new and old clients.

As a result, the project team developed a prototype e-learning module for CSWDO staff. The e-learning modules provided the information in short, fun and digestible formats. Feedback from fellow social workers in the department showed that the e-learning modules made a positive difference: “what you are doing is working, we have less staff asking questions about AICS because now they know”. The Valenzuela CSWD team gave a presentation on their journey through the 13-week accelerator programme at the Philippines-New Zealand Government Innovation Exchange Showcase event on 13 September 2022 at the ALERT Center Multipurpose Center, Valenzuela City. ","Since 2018, Creative HQ has run a globally unique programme: the GovTech Accelerator (https://creativehq.co.nz/our-work/govtech-accelerator/). Running annually, across 13 weeks, the programme works with public servants to demonstrate how innovation at the policy level can enable systemic change and improve outcomes for citizens. 

The programme focuses on developing capability within government agencies and provides a space for learning both innovation methodologies and the value of cross-agency collaboration. The GovTech Accelerator works to de-risk the public sector projects which have real-world potential to affect lives. ","Through research, stakeholder engagement, process mapping and ideation, the Valenzuela CSWDO project team developed several prototypes for potential solutions.  

To help clients better prepare for the AICS application process, the team developed an information chatbot that provided information on the requirements.  Feedback during the prototype testing phase showed that clients found the chatbot to be very helpful, accessible, time-saving, and informative for both the new and old clients. As a result, the CSWDO is planning to integrate and launch the chatbot with the Valenzuela City website. ",http://journal.com.ph/valenzuela-city-new-zealand-government-showcase-innovative-social-welfare-programme/ ,Call for Innovations,English
Ecosystem School 1.0 ,Finland,2022,State Treasury & Ministry of Finance together with VisionFactory Ltd and VTT (Technical Research Centre of Finland Ltd) ,"In the VUCA (volatility, uncertainty, complexity and ambiguity) world, the tasks of the government are interconnected and require cross-border collaboration and dialogue within ecosystems. However, one of the key challenges is the lack of knowledge and easy-to-deploy tools. As partners of Work2.0Lab (Työ2.0Lab), we co-created and implemented Ecosystem School 1.0. Its purpose was to develop ecosystem thinking, capabilities and tools to support phenomenon-oriented work within ecosystems.

The objective of Ecosystem School 1.0 (January – September 2022) was to develop ecosystem thinking in an agile and co-creative way to push the current boundaries and to break silos in governmental level of working. Moreover, it enabled participants to work with a participatory mindset across the organisational borders in a multiorganizational teams. 

The innovation is not the Ecosystem School 1.0 only and the fact that it combines three different fields of theory but also the way it was co-created among stakeholders being not a ready-made package when it started. To make this all happen needed open-minded course leaders and educators who determined the co-creative and ambitious course of action. 

Ecosystem School 1.0 includes several different innovative aspects, which are following. a) Ecosystem School 1.0 combines the current ecosystem, service design and co-creation, b) Ecosystem School 1.0 was co-created in close relationship with researchers, government actors, course leaders, educators and participants i.e. students, c) Ecosystem School 1.0 forced participants to rethink their professional mindset and the change needed when moving from an expert mindset to a participatory mindset, d) To scale up and to institutionalise the Ecosystem School 1.0 simultaneously during the school a digital platform was developed.","The unique approach of Ecosystem School 1.0 brought together different ecosystem actors (50 participants) from different governmental and public sectors to the shared co-learning and co-creative development process.  The approach was highly phenomenon based and the co-learning process followed the logic of service design. Furthermore, the design sprint kind of implementation as such is an innovative solution at the governmental sector. This was different on what has been tried previously in governmental development. On the other hand, due to the co-created nature of innovation involving actors from the different organisations, the traditional questions such as an innovation owner are fuzzy, and the tools of Ecosystem School 1.0 are cc-licenced. ","Based on the ecosystem development stories (11) including both success and pain points of the development and the official feedback, the results and impacts are following:  
a) The growth of understanding of the ecosystem thinking and development. 
b) The growth of enthusiasm of expanding the ecosystem way of working and solving wicked problems. 
c) The growth of collaboration, co-creation and strengthening networks. 

The school boosted the ecosystems’ activities carried out by the participants simultaneously. Activities including more than 50 events, workshops, and stakeholder group discussions, more than 100 public statements, and new RDI-projects. ",https://valtiolla.fi/ekosysteemit/ (in Finnish – to be opened 11/2022),Call for Innovations,English
"Innovation Zones, Facets and beyond - LIEPT (Lund Innovation Ecosystem Portfolio Tracking) governance model ",Sweden,2022,Future by Lund ,"Future by Lund (FBL) has implemented a new model for innovation ecosystem portfolio tracking (LIEPT). The model benefits partnering stakeholders by building strategic competence for scaling solutions and working with innovation portfolios as an approach for governing and developing the ecosystem’s priority areas. 

In this role as a boundary spanning, system intermediary for the local innovation ecosystem, the FBL team scouts trends and identifies opportunities, matches relevant actors and catalyzes collaborative action, and develops an innovation culture and portfolio of activities among the community of more than 100 actors (companies, universities, research institutes, innovation support actors) that (collectively) contribute to solutions for sustainable cities.

The LIEPT model leverages existing models and practices to map innovation activities over different development zones, to track the accumulated investments and milestones from innovation projects and activities across organisations, and to visualise data on these project portfolios to show the strength and collective impact of the ecosystem and guide its future development. 

Through LIEPT, FBL and partnering stakeholders have a more transparent and efficient approach for governance. Lund’s approach to portfolio tracking has been presented to other innovation ecosystems across Europe and will be piloted in other contexts over the coming year.","LIEPT is a novel approach for tracking both hard and soft system-level indicators, as well as the dynamic developments of initiatives, stakeholders and assets within innovation areas where multiple stakeholders collaborate to achieve collective growth and system transformation aims. This is done through a combination of existing models and theoretical insights about innovation portfolios together with a previously untried application of continuous, real-time portfolio tracking and communication as part of learning and strategic development processes in the local innovation ecosystem.  ","Using the LIEPT model provides a visualised overview of the current and historic set of activities/projects, collaboration partners and investments, as well as important events and system-level effects that the ecosystem’s action has contributed to. This has resulted in a more efficient and effective approach to innovation ecosystem governance.  

LIEPT provides an approach for continuous/real-time reflective monitoring and an easy input to guide strategic decisions (where activity should be directed, which and how much resources to invest). 

LIEPT lends legitimacy to the role of boundary spanning systemic intermediaries – providing evidence of the achievements of the ecosystem and the contributing role of facilitating platform operator.  ",https://www.futurebylund.se ,Call for Innovations,English
