Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
"Spray Drift Test Guidelines: , 840.1100, Spray Droplet Size Spectrum",3/1/1998,2/28/2020,EPA 712-C-98-055,Test Guidelines; Spray Drift,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0153-0003
"Spray Drift Test Guidelines: , 840.1200, Spray Drift Field Deposition",3/1/1998,2/28/2020,EPA 712-C-98-112,Test Guideline; Spray Drift,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0153-0004
"Product Performance Test Guidelines: Invertebrate Control Agent Product Performance Test Guidelines, 810.3000, General Considerations for Efficacy of Invertebrate Control Agents",3/1/1998,2/28/2020,EPA 712-C-98-409,Test Guideline; Product Performance,"This test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0150-0003
"Product Performance Test Guidelines: Invertebrate Control Agent Product Performance Test Guidelines, 810.3200, Livestock, Poultry, Fur- and Wool-bearing Animal Treatments",3/1/1998,2/28/2020,EPA 712-C-98-414,Test Guideline; Product Performance,"This test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0150-0005
"Product Performance Test Guidelines: Invertebrate Control Agent Product Performance Test Guidelines, 810.3400, Mosquito, Black Fly, and Biting Midge (Sand Fly) Treatments",3/1/1998,2/28/2020,EPA 712-C-98-419,Test Guideline; Product Performance,"This test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0150-0007
"Product Performance Test Guidelines: Invertebrate Control Agent Product Performance Test Guidelines, 810.3600, Structural Treatments",3/1/1998,2/28/2020,EPA 712-C-98-424,Test Guideline; Product Performance,"This test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0150-0009
"Product Properties Test Guidelines: 830.1000, Background for Product Properties Test Guidelines",3/1/1998,2/28/2020,EPA 712-C-96-310,Test Guideline; Product Properties; Background,"This test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0151-0002
"Product Properties Test Guidelines: Physical/Chemical Properties Test Guidelines, 830.7200, Melting Point/Melting Range",3/1/1998,2/28/2020,EPA 712-C-96-033,Test Guideline; Product Properties,"This test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0151-0026
"Product Properties Test Guidelines: Physical/Chemical Properties Test Guidelines, 830.7840, Water Solubility: Column Elution Method; Shake Flask Method",3/1/1998,2/28/2020,EPA 712-C-96-041,Test Guideline; Product Properties; Water Solubility,"This test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0151-0034
"Product Properties Test Guidelines: Physical/Chemical Properties Test Guidelines, 830.7860, Water Solubility, Generator Column Method",3/1/1998,2/28/2020,EPA 712-C-96-042,Test Guideline; Product Properties; Water Solubility,"This test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0151-0035
PR Notice 98-1; Self-Certification of Product Chemistry Data,1/12/1998,2/28/2020,PR Notice 98-1,Pesticide Registration Notices by Year,"The Office of Pesticide Programs has established a self-certification program for certain product chemistry data of manufacturing-use products and end-use products produced by a non-integrated formulation system. This program is voluntary and is intended to simplify and accelerate the processing of applications for registration and reregistration while maintaining protection of public health and the environment. To be eligible for self-certification, a product must be formulated from registered source(s).",https://www.regulations.gov/document?D=EPA-HQ-OPP-2007-0819-0001
"Fate, Transport and Transformation Test Guidelines: Laboratory Abiotic Transformation Test Guidelines, 835.2130, Hydrolysis as a Function of pH and Temperature",1/1/1998,2/28/2020,EPA 712-C-98-059,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0010
"Fate, Transport and Transformation Test Guidelines: Laboratory Abiotic Transformation Test Guidelines, 835.2210, Direct Photolysis Rate in Water by Sunlight",1/1/1998,2/28/2020,EPA 712-C-98-060,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0011
"Fate, Transport and Transformation Test Guidelines: Laboratory Abiotic Transformation Test Guidelines, 835.2310, Maximum Direct Photolysis Rate in Air from UV/Visible Spectroscopy",1/1/1998,2/28/2020,EPA 712-C-98-066,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0013
"Fate, Transport and Transformation Test Guidelines: Laboratory Biological Transformation Test Guidelines, 835.3100, Aerobic Aquatic Biodegradation",1/1/1998,2/28/2020,EPA 712-C-98-075,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0016
"Fate, Transport and Transformation Test Guidelines: Laboratory Biological Transformation Test Guidelines, 835.3110, Ready Biodegradability",1/1/1998,2/28/2020,EPA 712-C-98-076,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0017
"Fate, Transport and Transformation Test Guidelines: Laboratory Biological Transformation Test Guidelines, 835.3160, Biodegradability in Sea Water",1/1/1998,2/28/2020,EPA 712-C-98-351,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0019
"Fate, Transport and Transformation Test Guidelines: Laboratory Biological Transformation Test Guidelines, 835.3170, Shake Flask Die-Away Test",1/1/1998,2/28/2020,EPA 712-C-98-297,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0020
"Fate, Transport and Transformation Test Guidelines: Laboratory Biological Transformation Test Guidelines, 835.3180, Sediment/Water Microcosm Biogradation Test",1/1/1998,2/28/2020,EPA 712-C-98-083,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0021
"Fate, Transport and Transformation Test Guidelines: Laboratory Biological Transformation Test Guidelines, 835.3200, Zahn-Wellens/EMPA Test",1/1/1998,2/28/2020,EPA 712-C-98-084,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0022
"Fate, Transport and Transformation Test Guidelines: Laboratory Biological Transformation Test Guidelines, 835.3210, Modified SCAS Test",1/1/1998,2/28/2020,EPA 712-C-98-085,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0023
"Fate, Transport and Transformation Test Guidelines: Laboratory Biological Transformation Test Guidelines, 835.3220, Porous Pot Test",1/1/1998,2/28/2020,EPA 712-C-98-301,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0024
"Fate, Transport and Transformation Test Guidelines: Laboratory Biological Transformation Test Guidelines, 835.3300, Soil Biodegradation",1/1/1998,2/28/2020,EPA 712-C-98-088,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0025
"Fate, Transport and Transformation Test Guidelines: Laboratory Biological Transformation Test Guidelines, 835.3400, Anaerobic Biodegradability of Organic Chemicals",1/1/1998,2/28/2020,EPA 712-C-98-090,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0026
"Fate, Transport and Transformation Test Guidelines: Laboratory Transport Test Guidelines, 835.1110, Activated Sludge Sorption Isotherm",1/1/1998,2/28/2020,EPA 712-C-98-298,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0003
"Fate, Transport and Transformation Test Guidelines: Laboratory Transport Test Guidelines, 835.1210, Soil Thin Layer Chromatography",1/1/1998,2/28/2020,EPA 712-C-98-047,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0004
"Fate, Transport and Transformation Test Guidelines: Laboratory Transport Test Guidelines, 835.1220, Sediment and Soil Adsorption/Desorption Isotherm",1/1/1998,2/28/2020,EPA 712-C-98-048,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0005
"Fate, Transport and Transformation Test Guidelines: Transformation Chemical-Specific Test Guidelines, 835.5045, Modified SCAS Test for Insoluble and Volatile Chemicals",1/1/1998,2/28/2020,EPA 712-C-98-097,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0027
"Fate, Transport and Transformation Test Guidelines: Transformation Chemical-Specific Test Guidelines, 835.5154, Anaerobic Biodegradation in the Subsurface",1/1/1998,2/28/2020,EPA 712-C-98-098,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0028
"Fate, Transport and Transformation Test Guidelines: Transformation Chemical-Specific Test Guidelines, 835.5270, Indirect Photolysis Screening Test: Sunlight Photolysis in Waters Containing Dissolved Humic Substances",1/1/1998,2/28/2020,EPA 712-C-98-099,"Test Guideline; Fate, Transport and Transformation","The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0152-0031
"PRN 98-10: Notifications, Non-Notifications and Minor Formulation Amendments",1/1/1998,2/28/2020,EPA 705-G-2020-0658,Pesticide Registration,"This Pesticide Registration notice expands the changes to registration that may be made by notification and non-notification, maintains the expedited review of minor formulation changes, and modifies procedures for notifications of antimicrobial products.",https://www.epa.gov/pesticide-registration/prn-98-10-notifications-non-notifications-and-minor-formulation-amendments
PRN 98-2: Liquid Chemical Sterilant Products,1/1/1998,2/28/2020,EPA 705-G-2020-0989,Pesticide Registration,"Liquid chemical sterilant products are no longer regulated as ""pesticides"" by the Environmental Protection Agency (EPA), but as ""medical devices"" under the regulatory authority of the Food and Drug Administration (FDA).",https://www.epa.gov/pesticide-registration/prn-98-2-liquid-chemical-sterilant-products
PRN 98-3: Guidance on Final FIFRA 6(a)(2) Regulations for Pesticide Product Registrants,1/1/1998,2/28/2020,EPA 705-G-2020-0663,Pesticide Registration,This notice provides registrants comprehensive guidance on implementing the adverse effects reporting regulations that were published in 1997.,https://www.epa.gov/pesticide-registration/prn-98-3-guidance-final-fifra-6a2-regulations-pesticide-product-registrants
PRN 98-4: Additional Guidance on Final FIFRA Section 6(a)(2) Regulations for Pesticide Product Registrants w/Attachment,1/1/1998,2/28/2020,EPA 705-G-2020-0662,Pesticide Registration,This Pesticide Registration Notice provides guidance on reporting information concerning unreasonable adverse effects of their products to EPA under the regulations promulgated in 1997.,https://www.epa.gov/pesticide-registration/prn-98-4-additional-guidance-final-fifra-section-6a2-regulations-pesticide
PRN 98-5: New Forms for the Certification with Respect to Citation of Data,1/1/1998,2/28/2020,EPA 705-G-2020-0661,Pesticide Registration,"In 1998, EPA established new forms for citation of data to support the registration or reregistration of pesticide products. These forms are EPA Form 8570-34 (“Certification with Respect to Citation of Data”) and 8570-35 (“Data Matrix”).",https://www.epa.gov/pesticide-registration/prn-2025-1-revised-procedures-citing-data-support-pesticide-registrations
PRN 98-6: Flammability Labeling Requirements for Total Release Fogger Pesticides,1/1/1998,2/28/2020,EPA 705-G-2020-0660,Pesticide Registration,This notice describes new labeling requirements for total release foggers and provides the procedures and time frame for compliance. It ONLY affects total release foggers containing a propellant with a flash point at or below 20 degrees Fahrenheit.,https://www.epa.gov/pesticide-registration/prn-98-6-flammability-labeling-requirements-total-release-fogger-pesticides
PRN 98-8: Waiver of Fees Associated with Tolerance Objections,1/1/1998,2/28/2020,EPA 705-G-2020-0988,Pesticide Registration,"EPA's regulations require that tolerance objections be accompanied by a filing fee of $3,275. This fee can be waived. This notice clarifies EPA's interpretation of the regulation.",https://www.epa.gov/pesticide-registration/prn-98-8-waiver-fees-associated-tolerance-objections
PRN 98-9: Modification of Respirator Statements for Pesticide Product Labels,1/1/1998,2/28/2020,EPA 705-G-2020-0659,Pesticide Registration,This Pesticide Registration Notice informs registrants of technology improvements for respirators and designation changes for certain respirator filters required in pesticide labeling statements.,https://www.epa.gov/pesticide-registration/prn-98-9-modification-respirator-statements-pesticide-product-labels
Clarification of whether the Asbestos MAP permits accredited Contractor/Supervisors to exchange that accreditation for Worker accreditation without further training; attached to facsimile transmittal sheet dated 12/29/97,10/27/1997,2/28/2020,EPA 705-G-2020-3168,Asbestos,Clarification of whether the Asbestos MAP permits accredited Contractor/Supervisors to exchange that accreditation for Worker accreditation without further training; attached to facsimile transmittal sheet dated 12/29/97.,https://www.epa.gov/asbestos/asbestos-guidance-documents-pertaining-toxic-substances-control-act
PR Notice 97-5; Use of Common Names for Active Ingredients on Pesticide Labeling,9/11/1997,2/28/2020,PR Notice 97-5,Pesticide Registration Notices by Year,"This notice announces EPA policy to expand the use of common names on pesticide labeling. EPA will permit the use of common names approved by the American National Standards Institute (ANSI) in the label ingredients statement without the accompanying scientific chemical names, and will permit the use of other common names listed in this notice without the accompanying scientific chemical name. EPA also recommends the inclusion on labels of Chemical Abstracts Service (CAS) numbers to identify ingredients definitively.",https://www.regulations.gov/document?D=EPA-HQ-OPP-2007-0815-0001
"PR Notice 97-6; Use of Term ""Inert"" in the Label Ingredients Statement",9/11/1997,2/28/2020,PR Notice 97-6,Pesticide Registration Notices by Year,"This notice announces a change in EPA policy regarding the label ingredients statement. Effective immediately, the phrase ""Inert ingredients,"" may be replaced by the term ""Other ingredients."" Although no registrant is required to make this change, EPA encourages registrants to do so. Provided the term ""Other ingredients"" is used, the change may be made at any time without notification to the Agency.",https://www.regulations.gov/document?D=EPA-HQ-OPP-2007-0818-0001
Conduct of Acute Toxicity Studies,9/1/1997,2/28/2020,EPA 705-G-2020-3392,FIFRA; pesticides; antimicrobial,This document details the procedure for conducting acute toxicity studies.,https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=20000592.txt
Response to request for permission to export used ballasts with PCB capacitors for resale and reuse purposes,7/16/1997,2/28/2020,EPA 705-G-2020-3481,PCBs,Guidance on the export of used light ballasts (FLBs) with PCB small capacitors for resale and reuse purposes.,https://www.epa.gov/pcbs/pcb-use-guidance-issued-epa
Polymer Exemption Guidance Manual for premanufacture notices for new chemicals under the Toxic Substances Control Act (TSCA),6/1/1997,2/28/2020,EPA 705-G-2020-1254,Reviewing New Chemicals under the Toxic Substances Control Act (TSCA),"A technical manual to accompany, but not supersede the ""Premanufacture Notification Exemptions; Revisions of Exemptions for Polymers; Final Rule"" found at 40 CFR Part 723, (60) FR 16316-16336, published Wednesday, March 29, 1995.",https://www.epa.gov/reviewing-new-chemicals-under-toxic-substances-control-act-tsca/polymer-exemption-guidance-manual
Excluded PCB Products - painted machines,5/12/1997,2/28/2020,EPA 705-G-2020-3480,PCBs,Guidance on Excluded PCB Products - items coated with paints which contain <50 ppm PCBs meet the definition of excluded PCB products if the contamination came from historic uses.,https://www.epa.gov/pcbs/pcb-use-guidance-issued-epa
PRN ,1/1/1997,2/28/2020,EPA 705-G-2020-0997,Pesticide Registration,This is a list of common names for use on pesticide Labels approved by The American National Standards Institute.,https://www.epa.gov/pesticide-registration/prn-97-5-appendix
PRN 97-1: Agency Actions under the Requirements of the Food Quality Protection Act,1/1/1997,2/28/2020,EPA 705-G-2020-1018,Pesticide Registration,"This pesticide registration notice describes EPA's implementation of the Food Quality Protection Act, including the risk cup and risk management strategies under the new safety standard.",https://www.epa.gov/pesticide-registration/prn-97-1-agency-actions-under-requirements-food-quality-protection-act
PRN 97-3: Guidelines for Expedited Review of Conventional Pesticides under the Reduced-Risk Initiative and for Biological Pesticides,1/1/1997,2/28/2020,EPA 705-G-2020-1017,Pesticide Registration,"EPA encourages the development, registration and use of lower-risk pesticide products which would result in reduced risks to human health and the environment. This Pesticide Registration notice and the related web page explain the process and criteria.",https://www.epa.gov/pesticide-registration/prn-97-3-guidelines-expedited-review-conventional-pesticides-under-reduced
PRN 97-4: Consumer Access Numbers on Pesticide Labels,1/1/1997,2/28/2020,EPA 705-G-2020-1015,Pesticide Registration,"This notice describes EPA policy on including telephone numbers and other access numbers or internet addresses, on pesticide product labeling. It also explains how the telephone number of the National Pesticide Information Center hotline may be used.",https://www.epa.gov/pesticide-registration/prn-97-4-consumer-access-numbers-pesticide-labels
PRN 97-5 Appendix B,1/1/1997,2/28/2020,EPA 705-G-2020-0999,Pesticide Registration,"Appendix B lists other names, not established by ANSI, which may also be used alone in the ingredients statement without an accompanying chemical name.",https://www.epa.gov/pesticide-registration/prn-97-5-appendix-b
PRN 97-7: Existing Stocks for Labeling Changes in PR Notices,1/1/1997,2/28/2020,EPA 705-G-2020-0992,Pesticide Registration,"EPA intends to establish October 1 as the annual compliance date for most EPA-initiated label changes specified by a PR Notice, FR Notice or similar mechanism. We will allow at least one year for an action to become effective. Other dates may apply.",https://www.epa.gov/pesticide-registration/prn-97-7-existing-stocks-labeling-changes-pr-notices
PRN 97-9: Electronic Submission Of Child-Resistant Packaging Test Data For All Pesticides,1/1/1997,2/28/2020,EPA 705-G-2020-0990,Pesticide Registration,This pesticide registration notice addresses four issues related to child-resistant packaging.,https://www.epa.gov/pesticide-registration/prn-97-9-electronic-submission-child-resistant-packaging-test-data-all
"Interpretive Guidance for the Real Estate Community on the Requirements for Disclosure of Information Concerning Lead-Based Paint in Housing, Part II ",12/5/1996,2/28/2020,EPA 705-G-2020-0023,Lead,Guidance on rule requiring persons selling or leasing most residential housing built before 1978 to provide purchasers and renters with a federally approved lead hazard information pamphlet (Part 2).,https://www.regulations.gov/document?D=EPA-HQ-OPPT-2007-0768-0001
PR (Pesticide Registration) Notice 96-8; Toxicologically Significant Levels of Pesticide Active Ingredients,10/31/1996,2/28/2020,PR Notice 96-8,Pesticide Registration Notices by Year,"This notice sets out EPA's interpretation of the term ""toxicologically significant"" as it applies to contaminants in pesticide products that are also pesticide active ingredients. This notice provides risk-based concentration levels of such contaminants that will generally be considered toxicologically significant. These concentrations are defined according to the type of pesticide that is contaminated and the pesticide category of the contaminant.",https://www.regulations.gov/document?D=EPA-HQ-OPP-2007-0814-0001
"Interpretive Guidance for the Real Estate Community on the Requirements for Disclosure of Information Concerning Lead-Based Paint in Housing, Part I ",8/20/1996,2/28/2020,EPA 705-G-2020-0022,Lead,Guidance on rule requiring persons selling or leasing most residential housing built before 1978 to provide purchasers and renters with a federally approved lead hazard information pamphlet (Part 1).,https://www.regulations.gov/document?D=EPA-HQ-OPPT-2007-0765-0001
Agreement Between The Department of the Navy and The United States Environmental Protection Agency,8/19/1996,2/28/2020,EPA 705-G-2020-3401,PCBS,Agreement Between The Department of the Navy and The United States Environmental Protection Agency (OECA) on the use of Naval Vessels containing PCBs as targets and test platforms resulting in their sinking (SINKEX).,https://www.epa.gov/pcbs/pcb-use-guidance-issued-epa
"Residue Chemistry Test Guidelines: 860.1000, Background",8/1/1996,2/28/2020,EPA 712-C-96-169,Test Guideline; Residue Chemistry ,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0002
"Residue Chemistry Test Guidelines: 860.1100, Chemical Identity",8/1/1996,2/28/2020,EPA 712-C-96-170,Test Guideline; Residue Chemistry ,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0004
"Residue Chemistry Test Guidelines: 860.1200, Directions for Use",8/1/1996,2/28/2020,EPA 712-C-96-171,Test Guideline; Residue Chemistry,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0005
"Residue Chemistry Test Guidelines: 860.1300, Nature of the Residue—Plants, Livestock",8/1/1996,2/28/2020,EPA 712-C-96-172,Test Guideline; Residue Chemistry,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0006
"Residue Chemistry Test Guidelines: 860.1340, Residue Analytical Method",8/1/1996,2/28/2020,EPA 712-C-96-174,Test Guideline; Residue Chemistry,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0007
"Residue Chemistry Test Guidelines: 860.1360, Multiresidue method",8/1/1996,2/28/2020,EPA 712-C-96-176,Test Guideline; Residue Chemistry ,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0008
"Residue Chemistry Test Guidelines: 860.1380, Storage Stability Data",8/1/1996,2/28/2020,EPA 712-C-96-177,Test Guideline; Residue Chemistry,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0009
"Residue Chemistry Test Guidelines: 860.1400, Water, Fish, and Irrigated Crops",8/1/1996,2/28/2020,EPA 712-C-96-178,Test Guideline; Residue Chemistry,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0010
"Residue Chemistry Test Guidelines: 860.1460, Food Handling",8/1/1996,2/28/2020,EPA 712-C-96-181,Test Guideline; Residue Chemistry ,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0011
"Residue Chemistry Test Guidelines: 860.1480, Meat/Milk/Poultry/Eggs",8/1/1996,2/28/2020,EPA 712-C-96-182, Test Guideline; Residue Chemistry,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0012
"Residue Chemistry Test Guidelines: 860.1500, Crop Field Trials",8/1/1996,2/28/2020,EPA 712-C-96-183,Test Guideline; Residue Chemistry ,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0013
"Residue Chemistry Test Guidelines: 860.1520, Processed Food/Feed",8/1/1996,2/28/2020,EPA 712-C-96-184,Test Guideline; Residue Chemistry,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0014
"Residue Chemistry Test Guidelines: 860.1550, Proposed Tolerances",8/1/1996,2/28/2020,EPA 712-C-96-186,Test Guideline; Residue Chemistry,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0015
"Residue Chemistry Test Guidelines: 860.1560, Reasonable Grounds in Support of the Petition",8/1/1996,2/28/2020,EPA 712-C-96-187,Test Guideline; Residue Chemistry,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0016
"Residue Chemistry Test Guidelines: 860.1850, Confined Accumulation in Rotational Crops",8/1/1996,2/28/2020,EPA 712-C-96-188,Test Guideline; Residue Chemistry,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0018
"Residue Chemistry Test Guidelines: 860.1900, Field Accumulation in Rotational Crops",8/1/1996,2/28/2020,EPA 712-C-96-189,Test Guideline; Residue Chemistry,"The following test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0155-0019
"Product Properties Test Guidelines: Physical/Chemical Properties Test Guidelines, 830.6302, Color",8/1/1996,2/28/2020,EPA 712-C-96-019,Test Guideline; Product Properties,"This test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0151-0012
